time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,Class
0.086,0.756,0.566,0.178,0.035,0.440,0.176,0.104,0.051,1.000
0.072,0.361,0.578,0.130,0.053,0.538,0.038,0.000,0.119,1.000
0.074,0.579,0.258,0.162,0.035,0.583,0.129,0.016,0.012,1.000
0.171,0.521,0.322,0.189,0.070,0.457,0.102,0.082,0.182,1.000
0.996,0.634,0.424,0.097,0.053,0.585,0.230,0.000,0.017,1.000
0.023,0.667,0.407,0.168,0.105,0.548,0.107,0.000,0.018,1.000
0.075,0.592,0.269,0.124,0.018,0.347,0.273,0.005,0.201,1.000
0.150,0.579,0.789,0.146,0.193,0.498,0.472,0.033,0.144,1.000
0.077,0.321,0.559,0.178,0.123,0.506,0.015,0.082,0.242,1.000
0.289,0.639,0.404,0.157,0.211,0.555,0.073,0.027,0.123,1.000
0.072,0.729,0.686,0.168,0.281,0.527,0.432,0.208,0.012,1.000
0.124,0.603,0.621,0.135,0.070,0.541,0.165,0.033,0.085,1.000
0.066,0.596,0.686,0.211,0.053,0.445,0.218,0.071,0.100,1.000
0.064,0.521,0.496,0.200,0.404,0.551,0.270,0.044,0.008,1.000
0.286,0.586,0.216,0.141,0.053,0.495,0.020,0.060,0.022,1.000
0.151,0.358,0.871,0.097,0.158,0.219,0.196,0.148,0.390,1.000
0.290,0.470,0.423,0.130,0.175,0.351,0.101,0.055,0.123,1.000
0.352,0.521,0.642,0.135,0.158,0.328,0.406,0.169,0.144,1.000
0.075,0.572,0.382,0.157,0.018,0.525,0.009,0.033,0.027,1.000
0.070,0.434,0.488,0.130,0.158,0.569,0.296,0.038,0.058,1.000
0.009,0.454,0.726,0.168,0.123,0.562,0.274,0.027,0.015,1.000
0.069,0.680,0.744,0.216,0.175,0.512,0.366,0.109,0.065,1.000
0.023,0.405,0.635,0.157,0.018,0.448,0.304,0.049,0.095,1.000
0.073,0.708,0.141,0.141,0.035,0.551,0.069,0.033,0.146,1.000
0.065,0.577,0.503,0.141,0.368,0.418,0.431,0.066,0.051,1.000
0.240,0.324,0.726,0.195,0.053,0.454,0.273,0.120,0.048,1.000
0.133,0.418,0.793,0.200,0.333,0.499,0.417,0.005,0.040,1.000
0.191,0.744,0.452,0.141,0.070,0.438,0.093,0.016,0.192,1.000
0.175,0.498,0.408,0.173,0.175,0.496,0.046,0.005,0.025,1.000
0.143,0.574,0.565,0.135,0.333,0.536,0.138,0.000,0.028,1.000
0.068,0.562,0.421,0.173,0.158,0.536,0.120,0.022,0.030,1.000
0.090,0.589,0.185,0.141,0.053,0.543,0.125,0.027,0.017,1.000
0.995,0.696,0.560,0.103,0.351,0.557,0.418,0.005,0.078,1.000
0.078,0.493,0.689,0.119,0.140,0.446,0.297,0.120,0.106,1.000
0.149,0.381,0.655,0.216,0.474,0.536,0.268,0.016,0.053,1.000
0.132,0.621,0.298,0.195,0.053,0.501,0.031,0.022,0.078,1.000
0.039,0.568,0.410,0.178,0.105,0.420,0.024,0.027,0.025,1.000
0.086,0.551,0.728,0.086,0.088,0.156,0.307,0.137,0.290,1.000
0.147,0.495,0.476,0.151,0.035,0.538,0.245,0.011,0.020,1.000
0.090,0.562,0.407,0.249,0.088,0.399,0.158,0.093,0.158,1.000
0.008,0.373,0.467,0.200,0.175,0.468,0.383,0.027,0.043,1.000
0.154,0.575,0.667,0.189,0.123,0.538,0.378,0.087,0.056,1.000
0.126,0.492,0.357,0.130,0.035,0.274,0.129,0.049,0.169,1.000
0.146,0.544,0.524,0.205,0.140,0.464,0.144,0.055,0.056,1.000
0.044,0.374,0.318,0.119,0.175,0.473,0.352,0.011,0.131,1.000
0.080,0.424,0.403,0.168,0.158,0.480,0.001,0.055,0.050,1.000
0.351,0.554,0.591,0.173,0.035,0.579,0.060,0.055,0.020,1.000
0.005,0.237,0.503,0.168,0.193,0.386,0.365,0.082,0.015,1.000
0.089,0.513,0.391,0.130,0.070,0.372,0.212,0.044,0.138,1.000
0.049,0.484,0.485,0.135,0.246,0.548,0.208,0.016,0.000,1.000
0.164,0.445,0.179,0.141,0.070,0.573,0.023,0.011,0.041,1.000
0.083,0.611,0.321,0.135,0.491,0.518,0.195,0.016,0.028,1.000
0.102,0.322,0.729,0.195,0.035,0.359,0.325,0.153,0.063,1.000
0.081,0.288,0.369,0.200,0.088,0.539,0.182,0.000,0.025,1.000
0.070,0.775,0.563,0.216,0.246,0.462,0.283,0.011,0.073,1.000
0.140,0.470,0.205,0.173,0.070,0.534,0.173,0.044,0.030,1.000
0.194,0.609,0.581,0.151,0.053,0.491,0.040,0.000,0.027,1.000
0.070,0.658,0.581,0.162,0.263,0.607,0.273,0.011,0.036,1.000
0.063,0.533,0.760,0.119,0.263,0.471,0.439,0.098,0.123,1.000
0.203,0.185,0.427,0.108,0.070,0.513,0.115,0.055,0.080,1.000
0.135,0.387,0.886,0.211,0.526,0.475,0.449,0.240,0.207,1.000
0.060,0.491,0.610,0.119,0.018,0.279,0.101,0.180,0.328,1.000
0.070,0.628,0.625,0.178,0.263,0.506,0.389,0.098,0.005,1.000
0.082,0.462,0.306,0.130,0.263,0.487,0.216,0.016,0.119,1.000
0.157,0.524,0.176,0.162,0.158,0.478,0.216,0.044,0.045,1.000
0.206,0.594,0.452,0.157,0.053,0.428,0.380,0.077,0.040,1.000
0.193,0.594,0.211,0.086,0.018,0.508,0.247,0.082,0.061,1.000
0.006,0.551,0.213,0.162,0.035,0.478,0.246,0.022,0.166,1.000
0.304,0.158,0.610,0.168,0.123,0.445,0.219,0.049,0.128,1.000
0.123,0.415,0.422,0.092,0.053,0.553,0.186,0.033,0.124,1.000
0.073,0.511,0.170,0.103,0.123,0.552,0.091,0.022,0.056,1.000
0.186,0.492,0.439,0.178,0.000,0.520,0.065,0.011,0.114,1.000
0.056,0.482,0.596,0.135,0.018,0.334,0.171,0.158,0.027,1.000
0.159,0.412,0.416,0.141,0.474,0.488,0.404,0.164,0.041,1.000
0.135,0.387,0.886,0.211,0.526,0.475,0.449,0.240,0.207,1.000
0.060,0.525,0.559,0.195,0.228,0.478,0.300,0.044,0.040,1.000
0.203,0.498,0.581,0.173,0.175,0.266,0.125,0.126,0.179,1.000
0.047,0.542,0.814,0.070,0.193,0.522,0.383,0.022,0.022,1.000
0.112,0.495,0.714,0.173,0.386,0.483,0.328,0.060,0.046,1.000
0.077,0.604,0.604,0.103,0.053,0.341,0.033,0.158,0.232,1.000
0.030,0.325,0.499,0.151,0.316,0.629,0.010,0.016,0.020,1.000
0.135,0.589,0.324,0.168,0.035,0.393,0.038,0.148,0.108,1.000
0.051,0.564,0.520,0.103,0.070,0.215,0.112,0.186,0.265,1.000
0.058,0.445,0.507,0.124,0.158,0.608,0.073,0.011,0.108,1.000
0.069,0.733,0.790,0.211,0.316,0.371,0.339,0.262,0.051,1.000
0.093,0.512,0.822,0.200,0.246,0.406,0.445,0.180,0.081,1.000
0.154,0.527,0.451,0.124,0.123,0.480,0.003,0.066,0.095,1.000
0.064,0.487,0.422,0.184,0.070,0.443,0.106,0.131,0.015,1.000
0.344,0.518,0.344,0.168,0.018,0.369,0.050,0.033,0.095,1.000
0.071,0.678,0.566,0.146,0.070,0.483,0.168,0.005,0.081,1.000
0.080,0.519,0.394,0.130,0.018,0.459,0.402,0.126,0.035,1.000
0.067,0.558,0.533,0.189,0.035,0.405,0.250,0.066,0.073,1.000
0.064,0.640,0.411,0.119,0.175,0.041,0.013,0.120,0.186,1.000
0.077,0.434,0.497,0.130,0.070,0.580,0.097,0.027,0.012,1.000
0.054,0.555,0.653,0.168,0.211,0.587,0.189,0.011,0.008,1.000
0.213,0.370,0.399,0.168,0.386,0.532,0.159,0.027,0.045,1.000
0.021,0.358,0.385,0.135,0.035,0.457,0.175,0.071,0.093,1.000
0.068,0.721,0.333,0.173,0.175,0.571,0.254,0.022,0.095,1.000
0.042,0.724,0.364,0.151,0.035,0.585,0.075,0.011,0.033,1.000
0.113,0.569,0.525,0.086,0.018,0.547,0.267,0.120,0.041,1.000
0.138,0.454,0.453,0.086,0.035,0.285,0.208,0.164,0.192,1.000
0.052,0.825,0.732,0.119,0.070,0.440,0.205,0.120,0.103,1.000
0.020,0.379,0.440,0.162,0.140,0.037,0.003,0.142,0.393,1.000
0.134,0.831,0.341,0.130,0.070,0.511,0.019,0.044,0.063,1.000
0.004,0.307,0.621,0.157,0.140,0.457,0.339,0.066,0.063,1.000
0.084,0.255,0.452,0.157,0.246,0.417,0.365,0.098,0.045,1.000
0.201,0.775,0.434,0.086,0.018,0.566,0.208,0.016,0.012,1.000
0.159,0.615,0.347,0.103,0.088,0.623,0.077,0.005,0.008,1.000
0.051,0.696,0.717,0.130,0.333,0.459,0.332,0.005,0.022,1.000
0.058,0.563,0.568,0.076,0.211,0.531,0.397,0.066,0.010,1.000
0.146,0.455,0.699,0.162,0.053,0.452,0.267,0.115,0.104,1.000
0.083,0.659,0.538,0.157,0.193,0.466,0.300,0.011,0.045,1.000
0.353,0.862,0.317,0.092,0.088,0.274,0.114,0.077,0.131,1.000
0.081,0.277,0.285,0.184,0.140,0.424,0.284,0.022,0.048,1.000
0.097,0.526,0.526,0.151,0.000,0.575,0.051,0.005,0.032,1.000
0.484,0.719,0.512,0.130,0.088,0.501,0.057,0.142,0.405,1.000
0.051,0.888,0.716,0.124,0.228,0.414,0.203,0.049,0.035,1.000
0.134,0.584,0.392,0.184,0.175,0.397,0.195,0.000,0.063,1.000
0.207,0.556,0.188,0.189,0.123,0.343,0.259,0.087,0.046,1.000
0.076,0.437,0.583,0.189,0.105,0.560,0.205,0.011,0.131,1.000
0.081,0.443,0.704,0.238,0.123,0.484,0.019,0.131,0.040,1.000
0.302,0.487,0.788,0.184,0.351,0.516,0.357,0.055,0.043,1.000
0.113,0.492,0.299,0.178,0.070,0.399,0.000,0.022,0.070,1.000
0.072,0.528,0.656,0.205,0.140,0.418,0.240,0.049,0.033,1.000
0.483,0.244,0.421,0.146,0.070,0.539,0.351,0.005,0.171,1.000
0.005,0.550,0.688,0.135,0.211,0.564,0.287,0.005,0.022,1.000
0.080,0.406,0.507,0.135,0.105,0.503,0.372,0.033,0.005,1.000
0.271,0.547,0.313,0.130,0.228,0.489,0.264,0.038,0.131,1.000
0.010,0.492,0.517,0.130,0.228,0.433,0.242,0.005,0.154,1.000
0.011,0.194,0.383,0.130,0.070,0.469,0.274,0.049,0.325,1.000
0.009,0.651,0.454,0.157,0.018,0.558,0.013,0.066,0.002,1.000
0.140,0.596,0.218,0.092,0.140,0.478,0.107,0.016,0.030,1.000
0.062,0.513,0.393,0.173,0.053,0.522,0.004,0.005,0.095,1.000
0.203,0.473,0.198,0.178,0.018,0.681,0.327,0.011,0.119,1.000
0.071,0.439,0.349,0.205,0.140,0.596,0.269,0.016,0.038,1.000
0.065,0.611,0.076,0.135,0.158,0.485,0.073,0.000,0.051,1.000
0.023,0.449,0.562,0.173,0.140,0.617,0.088,0.027,0.086,1.000
0.063,0.259,0.515,0.146,0.000,0.349,0.029,0.066,0.133,1.000
0.160,0.627,0.421,0.157,0.018,0.551,0.279,0.022,0.013,1.000
0.096,0.399,0.468,0.162,0.053,0.539,0.270,0.071,0.159,1.000
0.209,0.809,0.646,0.146,0.211,0.464,0.347,0.175,0.315,1.000
0.049,0.708,0.775,0.227,0.351,0.645,0.268,0.060,0.005,1.000
0.202,0.516,0.352,0.092,0.000,0.408,0.208,0.049,0.121,1.000
0.134,0.561,0.206,0.151,0.035,0.413,0.240,0.126,0.166,1.000
0.909,0.489,0.623,0.124,0.088,0.502,0.214,0.011,0.081,1.000
0.194,0.607,0.663,0.135,0.070,0.338,0.223,0.104,0.123,1.000
0.002,0.864,0.747,0.162,0.298,0.509,0.286,0.066,0.048,1.000
0.071,0.528,0.644,0.157,0.158,0.526,0.107,0.060,0.076,1.000
0.121,0.654,0.259,0.108,0.070,0.432,0.087,0.038,0.030,1.000
0.425,0.581,0.525,0.141,0.140,0.636,0.032,0.033,0.012,1.000
0.071,0.588,0.618,0.162,0.053,0.565,0.221,0.038,0.073,1.000
0.077,0.443,0.436,0.124,0.193,0.524,0.189,0.011,0.224,1.000
0.134,0.727,0.536,0.141,0.070,0.474,0.061,0.055,0.048,1.000
0.074,0.665,0.469,0.049,0.000,0.044,0.145,0.197,0.340,1.000
0.071,0.358,0.401,0.141,0.000,0.529,0.217,0.027,0.022,1.000
0.123,0.475,0.326,0.157,0.211,0.527,0.180,0.011,0.012,1.000
0.085,0.492,0.212,0.119,0.053,0.436,0.204,0.022,0.199,1.000
0.834,0.575,0.705,0.162,0.246,0.558,0.075,0.022,0.015,1.000
0.283,0.689,0.495,0.070,0.088,0.496,0.261,0.016,0.061,1.000
0.147,0.651,0.508,0.086,0.228,0.613,0.149,0.027,0.012,1.000
0.008,0.525,0.226,0.054,0.175,0.597,0.134,0.005,0.030,1.000
0.066,0.227,0.669,0.173,0.456,0.545,0.310,0.005,0.058,1.000
0.051,0.529,0.263,0.157,0.211,0.516,0.014,0.033,0.075,1.000
0.058,0.657,0.543,0.157,0.404,0.429,0.367,0.126,0.091,1.000
0.209,0.552,0.833,0.184,0.175,0.526,0.126,0.137,0.012,1.000
0.151,0.592,0.462,0.141,0.088,0.106,0.041,0.240,0.325,1.000
0.051,0.549,0.161,0.108,0.018,0.540,0.082,0.033,0.090,1.000
0.059,0.618,0.538,0.178,0.000,0.329,0.096,0.033,0.363,1.000
0.071,0.547,0.637,0.168,0.175,0.530,0.315,0.060,0.056,1.000
0.001,0.258,0.229,0.173,0.070,0.494,0.111,0.005,0.139,1.000
0.038,0.561,0.500,0.119,0.386,0.558,0.374,0.022,0.028,1.000
0.004,0.361,0.947,0.130,0.211,0.468,0.120,0.087,0.055,1.000
0.056,0.366,0.440,0.168,0.140,0.476,0.223,0.060,0.090,1.000
0.060,0.584,0.743,0.227,0.140,0.464,0.460,0.213,0.046,1.000
0.078,0.431,0.407,0.141,0.123,0.515,0.054,0.005,0.118,1.000
0.056,0.534,0.933,0.119,0.158,0.632,0.406,0.137,0.035,1.000
0.068,0.614,0.553,0.103,0.281,0.415,0.188,0.005,0.003,1.000
0.019,0.638,0.519,0.141,0.316,0.505,0.321,0.000,0.071,1.000
0.073,0.421,0.748,0.178,0.281,0.516,0.395,0.044,0.070,1.000
0.005,0.507,0.274,0.097,0.228,0.315,0.163,0.273,0.418,1.000
0.156,0.500,0.083,0.097,0.140,0.562,0.156,0.060,0.075,1.000
0.089,0.645,0.546,0.119,0.263,0.536,0.309,0.011,0.010,1.000
0.085,0.588,0.453,0.108,0.053,0.443,0.125,0.153,0.221,1.000
0.147,0.623,0.048,0.043,0.088,0.446,0.324,0.049,0.231,1.000
0.043,0.525,0.460,0.151,0.474,0.485,0.288,0.033,0.027,1.000
0.094,0.518,0.350,0.124,0.404,0.572,0.198,0.022,0.043,1.000
0.338,0.490,0.572,0.157,0.018,0.431,0.338,0.077,0.023,1.000
0.069,0.679,0.589,0.119,0.105,0.545,0.119,0.016,0.116,1.000
0.560,0.525,0.535,0.124,0.175,0.569,0.138,0.005,0.071,1.000
0.093,0.696,0.386,0.141,0.035,0.056,0.314,0.235,0.158,1.000
0.064,0.996,0.749,0.195,0.316,0.582,0.162,0.087,0.045,1.000
0.077,0.513,0.759,0.114,0.070,0.441,0.233,0.224,0.027,1.000
0.006,0.611,0.478,0.157,0.298,0.550,0.217,0.022,0.080,1.000
0.070,0.566,0.391,0.189,0.088,0.456,0.256,0.115,0.106,1.000
0.094,0.551,0.653,0.146,0.246,0.420,0.239,0.060,0.128,1.000
0.144,0.671,0.694,0.184,0.070,0.533,0.189,0.126,0.007,1.000
0.331,0.392,0.103,0.092,0.053,0.603,0.194,0.071,0.106,1.000
0.063,0.243,0.282,0.130,0.000,0.547,0.134,0.033,0.081,1.000
0.086,0.481,0.254,0.168,0.140,0.631,0.256,0.016,0.050,1.000
0.070,0.399,0.108,0.168,0.070,0.425,0.010,0.044,0.327,1.000
0.073,0.560,0.587,0.162,0.123,0.494,0.325,0.044,0.116,1.000
0.128,0.626,0.928,0.130,0.333,0.460,0.388,0.186,0.053,1.000
0.010,0.629,0.230,0.108,0.246,0.286,0.028,0.115,0.167,1.000
0.088,0.535,0.072,0.151,0.070,0.417,0.267,0.022,0.091,1.000
0.867,0.758,0.398,0.135,0.211,0.474,0.213,0.016,0.048,1.000
0.083,0.489,0.609,0.178,0.140,0.565,0.328,0.077,0.081,1.000
0.082,0.540,0.543,0.157,0.000,0.413,0.020,0.186,0.151,1.000
0.117,0.396,0.623,0.162,0.298,0.470,0.261,0.115,0.018,1.000
0.133,0.327,0.484,0.108,0.035,0.508,0.311,0.000,0.007,1.000
0.059,0.393,0.443,0.189,0.088,0.579,0.131,0.011,0.012,1.000
0.177,0.753,0.543,0.168,0.018,0.413,0.353,0.077,0.045,1.000
0.063,0.732,0.380,0.135,0.105,0.401,0.008,0.055,0.027,1.000
0.092,0.450,0.435,0.146,0.000,0.328,0.024,0.022,0.151,1.000
0.077,0.519,0.159,0.054,0.105,0.137,0.048,0.191,0.430,1.000
0.097,0.463,0.282,0.124,0.000,0.453,0.068,0.022,0.131,1.000
0.120,0.443,0.352,0.119,0.070,0.555,0.163,0.000,0.032,1.000
0.302,0.587,0.619,0.157,0.123,0.509,0.260,0.115,0.095,1.000
0.056,0.419,0.475,0.146,0.070,0.442,0.228,0.044,0.018,1.000
0.084,0.560,0.337,0.124,0.018,0.677,0.097,0.027,0.275,1.000
0.077,0.159,0.322,0.189,0.263,0.600,0.099,0.071,0.103,1.000
0.075,0.854,0.701,0.146,0.281,0.578,0.295,0.005,0.015,1.000
0.138,0.768,0.388,0.130,0.246,0.600,0.219,0.000,0.010,1.000
0.224,0.346,0.362,0.195,0.123,0.443,0.120,0.016,0.033,1.000
0.010,0.208,0.187,0.119,0.158,0.456,0.122,0.077,0.126,1.000
0.223,0.635,0.504,0.135,0.561,0.504,0.399,0.093,0.085,1.000
0.026,0.488,0.260,0.130,0.298,0.536,0.332,0.055,0.032,1.000
0.262,0.406,0.232,0.141,0.070,0.488,0.250,0.011,0.032,1.000
0.048,0.491,0.550,0.124,0.140,0.513,0.305,0.000,0.036,1.000
0.000,0.531,0.733,0.151,0.211,0.334,0.230,0.120,0.013,1.000
0.083,0.589,0.389,0.157,0.018,0.576,0.106,0.000,0.041,1.000
0.007,0.415,0.583,0.211,0.053,0.470,0.361,0.158,0.093,1.000
0.077,0.573,0.642,0.092,0.246,0.134,0.010,0.077,0.219,1.000
0.057,0.604,0.247,0.157,0.158,0.466,0.321,0.066,0.051,1.000
0.072,0.584,0.292,0.211,0.053,0.495,0.001,0.060,0.035,1.000
0.050,0.775,0.742,0.146,0.351,0.365,0.355,0.016,0.126,1.000
0.218,0.557,0.449,0.189,0.018,0.545,0.108,0.033,0.109,1.000
0.082,0.349,0.566,0.205,0.158,0.425,0.415,0.142,0.139,1.000
0.078,0.554,0.305,0.189,0.246,0.515,0.228,0.066,0.088,1.000
0.197,0.695,0.238,0.103,0.246,0.545,0.181,0.027,0.056,1.000
0.200,0.623,0.275,0.151,0.368,0.581,0.237,0.016,0.066,1.000
0.057,0.375,0.303,0.168,0.246,0.379,0.339,0.038,0.075,1.000
0.455,0.881,0.717,0.151,0.053,0.442,0.189,0.049,0.013,1.000
0.051,0.343,0.481,0.141,0.070,0.429,0.188,0.104,0.159,1.000
0.089,0.664,0.480,0.097,0.088,0.490,0.287,0.033,0.041,1.000
0.058,0.325,0.384,0.168,0.263,0.415,0.441,0.011,0.143,1.000
0.503,0.388,0.588,0.189,0.035,0.342,0.008,0.120,0.002,1.000
0.229,0.463,0.623,0.178,0.053,0.373,0.333,0.044,0.085,1.000
0.089,0.000,0.720,0.103,0.140,0.499,0.247,0.191,0.050,1.000
0.097,0.528,0.448,0.103,0.123,0.498,0.217,0.055,0.048,1.000
0.208,0.321,0.238,0.135,0.053,0.583,0.255,0.033,0.023,1.000
0.194,0.907,0.332,0.151,0.053,0.166,0.401,0.093,0.295,1.000
0.091,0.592,0.619,0.173,0.123,0.515,0.290,0.126,0.073,1.000
0.064,0.603,0.359,0.070,0.018,0.447,0.360,0.077,0.003,1.000
0.072,0.289,0.437,0.135,0.140,0.599,0.048,0.016,0.038,1.000
0.135,0.397,0.387,0.168,0.246,0.522,0.112,0.011,0.078,1.000
0.006,0.465,0.707,0.195,0.175,0.530,0.374,0.044,0.027,1.000
0.048,0.434,0.836,0.086,0.070,0.049,0.263,0.066,0.375,1.000
0.125,0.752,0.484,0.151,0.228,0.499,0.328,0.022,0.065,1.000
0.516,0.562,0.534,0.184,0.000,0.272,0.228,0.109,0.421,1.000
0.080,0.399,0.367,0.178,0.070,0.565,0.096,0.044,0.022,1.000
0.050,0.419,0.555,0.141,0.088,0.538,0.305,0.005,0.023,1.000
0.198,0.377,0.583,0.151,0.070,0.589,0.015,0.049,0.005,1.000
0.286,0.565,0.640,0.086,0.281,0.350,0.065,0.071,0.093,1.000
0.268,0.528,0.146,0.076,0.211,0.390,0.349,0.153,0.073,1.000
0.137,0.730,0.550,0.103,0.070,0.428,0.124,0.087,0.114,1.000
0.268,0.585,0.604,0.227,0.035,0.481,0.443,0.044,0.136,1.000
0.217,0.558,0.623,0.119,0.070,0.422,0.324,0.071,0.080,1.000
0.062,0.613,0.443,0.130,0.088,0.475,0.329,0.077,0.032,1.000
0.214,0.678,0.225,0.135,0.211,0.511,0.166,0.049,0.032,1.000
0.153,0.291,0.353,0.168,0.035,0.075,0.249,0.044,0.400,1.000
0.075,0.568,0.758,0.200,0.351,0.564,0.343,0.038,0.056,1.000
0.081,0.512,0.737,0.065,0.175,0.113,0.010,0.251,0.259,1.000
0.146,0.603,0.520,0.151,0.316,0.365,0.269,0.044,0.123,1.000
0.049,0.458,0.415,0.184,0.123,0.459,0.173,0.038,0.051,1.000
0.005,0.475,0.304,0.114,0.158,0.594,0.131,0.044,0.032,1.000
0.009,0.606,0.253,0.189,0.316,0.478,0.409,0.011,0.108,1.000
0.305,0.705,0.478,0.184,0.298,0.538,0.282,0.016,0.065,1.000
0.042,0.382,0.857,0.173,0.263,0.515,0.395,0.098,0.138,1.000
0.430,0.566,0.257,0.114,0.035,0.302,0.080,0.049,0.252,1.000
0.079,0.374,0.105,0.124,0.228,0.585,0.096,0.011,0.046,1.000
0.060,0.358,0.549,0.135,0.421,0.435,0.156,0.022,0.027,1.000
0.090,0.468,0.276,0.124,0.175,0.604,0.077,0.033,0.179,1.000
0.086,0.531,0.557,0.124,0.088,0.537,0.116,0.077,0.046,1.000
0.156,0.572,0.232,0.222,0.088,0.497,0.059,0.049,0.038,1.000
0.082,0.460,0.237,0.146,0.140,0.543,0.026,0.011,0.018,1.000
0.067,0.571,0.534,0.157,0.140,0.471,0.055,0.005,0.032,1.000
0.126,0.214,0.506,0.157,0.246,0.425,0.244,0.022,0.055,1.000
0.098,0.230,0.442,0.184,0.281,0.511,0.403,0.005,0.114,1.000
0.144,0.432,0.660,0.076,0.281,0.564,0.357,0.060,0.030,1.000
0.068,0.629,0.512,0.249,0.053,0.433,0.329,0.022,0.027,1.000
0.255,0.280,0.810,0.114,0.018,0.144,0.032,0.191,0.207,1.000
0.065,0.453,0.450,0.157,0.053,0.650,0.125,0.016,0.075,1.000
0.484,0.737,0.516,0.135,0.211,0.456,0.161,0.077,0.270,1.000
0.299,0.637,0.290,0.168,0.175,0.473,0.291,0.077,0.136,1.000
0.066,0.201,0.244,0.151,0.228,0.533,0.106,0.066,0.043,1.000
0.090,0.662,0.670,0.108,0.298,0.531,0.323,0.055,0.129,1.000
0.192,0.670,0.483,0.168,0.000,0.526,0.312,0.055,0.078,1.000
0.036,0.379,0.478,0.162,0.105,0.408,0.144,0.000,0.025,1.000
0.073,0.312,0.574,0.130,0.070,0.539,0.213,0.016,0.053,1.000
0.088,0.526,0.672,0.243,0.386,0.506,0.357,0.044,0.030,1.000
0.126,0.613,0.760,0.157,0.175,0.396,0.349,0.131,0.003,1.000
0.135,0.542,0.122,0.162,0.088,0.565,0.105,0.005,0.055,1.000
0.149,0.656,0.486,0.189,0.035,0.523,0.011,0.027,0.007,1.000
0.091,0.370,0.405,0.130,0.158,0.419,0.181,0.060,0.015,1.000
0.081,0.557,0.278,0.097,0.158,0.559,0.170,0.038,0.146,1.000
0.063,0.644,0.466,0.081,0.175,0.397,0.200,0.055,0.023,1.000
0.088,0.506,0.563,0.162,0.333,0.529,0.188,0.044,0.015,1.000
0.999,0.169,0.270,0.173,0.298,0.548,0.003,0.011,0.035,1.000
0.083,0.664,0.405,0.211,0.018,0.509,0.131,0.038,0.032,1.000
0.194,0.786,0.461,0.178,0.228,0.499,0.018,0.000,0.214,1.000
0.091,0.434,0.180,0.135,0.088,0.487,0.247,0.000,0.174,1.000
0.066,0.642,0.438,0.119,0.000,0.481,0.062,0.137,0.096,1.000
0.209,0.595,0.498,0.178,0.456,0.506,0.306,0.011,0.053,1.000
0.058,0.392,0.284,0.162,0.035,0.351,0.060,0.055,0.146,1.000
0.134,0.613,0.744,0.157,0.211,0.555,0.173,0.066,0.017,1.000
0.070,0.757,0.492,0.211,0.316,0.487,0.349,0.011,0.063,1.000
0.056,0.472,0.529,0.135,0.351,0.495,0.401,0.066,0.073,1.000
0.043,0.504,0.293,0.168,0.140,0.457,0.226,0.011,0.080,1.000
0.112,0.445,0.415,0.124,0.018,0.589,0.102,0.016,0.053,1.000
0.076,0.443,0.564,0.157,0.105,0.357,0.120,0.098,0.017,1.000
0.068,0.770,0.543,0.114,0.053,0.246,0.027,0.230,0.297,1.000
0.009,0.561,0.278,0.151,0.175,0.420,0.297,0.011,0.085,1.000
0.500,0.564,0.755,0.059,0.088,0.268,0.328,0.290,0.146,1.000
0.074,0.957,0.412,0.135,0.158,0.485,0.117,0.000,0.070,1.000
0.087,0.481,0.644,0.178,0.123,0.482,0.253,0.016,0.023,1.000
0.074,0.484,0.511,0.141,0.088,0.527,0.324,0.049,0.005,1.000
0.048,0.315,0.778,0.124,0.123,0.561,0.332,0.082,0.017,1.000
0.154,0.425,0.399,0.173,0.281,0.438,0.193,0.000,0.050,1.000
0.512,0.257,0.616,0.249,0.228,0.565,0.397,0.104,0.056,1.000
0.042,0.929,0.799,0.130,0.404,0.441,0.205,0.109,0.164,1.000
0.142,0.632,0.550,0.200,0.263,0.498,0.236,0.038,0.020,1.000
0.140,0.538,0.277,0.130,0.211,0.492,0.043,0.027,0.010,1.000
0.269,0.425,0.468,0.114,0.000,0.545,0.226,0.000,0.000,1.000
0.208,0.312,0.261,0.146,0.088,0.491,0.045,0.016,0.060,1.000
0.023,0.354,0.552,0.184,0.000,0.351,0.244,0.087,0.055,1.000
0.005,0.538,0.451,0.173,0.368,0.447,0.411,0.022,0.040,1.000
0.078,0.367,0.457,0.184,0.140,0.557,0.075,0.060,0.007,1.000
0.066,0.513,0.342,0.124,0.070,0.371,0.147,0.027,0.050,1.000
0.099,0.692,0.435,0.119,0.105,0.382,0.047,0.109,0.088,1.000
0.051,0.624,0.460,0.124,0.175,0.413,0.367,0.038,0.088,1.000
0.084,0.459,0.464,0.097,0.070,0.405,0.270,0.071,0.121,1.000
0.055,0.567,0.502,0.157,0.281,0.560,0.306,0.022,0.043,1.000
0.079,0.580,0.227,0.119,0.088,0.540,0.227,0.016,0.121,1.000
0.088,0.442,0.340,0.114,0.491,0.440,0.001,0.120,0.194,1.000
0.011,0.369,0.365,0.119,0.298,0.445,0.337,0.082,0.151,1.000
0.103,0.726,0.444,0.103,0.053,0.282,0.077,0.087,0.184,1.000
0.049,0.708,0.775,0.227,0.351,0.645,0.268,0.060,0.005,1.000
