bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,Timestamp,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac h�j O2,Sensitivity [pA/�M],t on 10/5 mM glu/lac [s],Lav O2 - H�j O2
,25929,R28266,932-029,08-02-2021 16:38,Glu,3,7,916,2.606,31.33,26.1,6.72,Failed,4.52,0.15,0.4,0.48,204,6.4,2.42
,25924,R28261,932-029,08-02-2021 12:52,Glu,8,9,763,2.437,27.86,28.27,6.401,Failed,1.1,0.08,0.6,1.45,141,3.8,3.05
,25924,R28261,932-029,08-02-2021 12:30,Glu,1,1,783,2.398,28.76,27.49,7.167,Failed,1.02,0.03,0,2.05,147,8.2,3.92
,25756,R28167,932-029,01-02-2021 22:38,Glu,8,8,1305,2.636,29.34,27.44,7.243,Failed,2.1,0.27,2.3,3.39,421,2.9,0.95
,25759,R28170,932-029,01-02-2021 20:52,Glu,1,2,1051,2.525,31.01,25.46,7.047,Failed,0.8,0.12,1.4,1.01,129,7.6,2.59
,25755,R28166,932-029,01-02-2021 18:12,Glu,8,10,2102,2.352,31.46,25.34,6.587,Failed,0.1,0.23,0.3,3.1,227,6.7,1.02
,25739,R28150,932-029,01-02-2021 15:02,Glu,1,1,1267,2.695,29.38,27.05,7.173,Failed,0.6,0.26,3.2,4.1,390,7.6,0.38
,25743,R28154,932-029,01-02-2021 14:56,Glu,8,8,1875,2.458,27.19,28.32,6.505,Failed,2,0.03,0.3,0.06,113,6.5,3.59
,25743,R28154,932-029,01-02-2021 14:38,Glu,2,1,1879,2.411,27.58,27.74,6.871,Failed,2.07,0.05,0.8,1.39,131,10.6,3.87
,25753,R28164,932-029,01-02-2021 13:00,Glu,2,7,2341,2.638,27.01,28.29,6.58,Failed,0.92,0.04,0.4,2.29,532,0.7,3.48
,25742,R28153,932-029,01-02-2021 11:24,Glu,2,10,1844,2.387,26.5,28.94,6.365,Failed,0.53,0.02,0.5,1.69,97,6.4,1.1
,25729,R28140,932-029,01-02-2021 10:32,Glu,3,2,587,2.468,26.47,28.38,6.972,Failed,1.03,0.15,1.9,3.54,276,6,0.97
,25765,R28176,932-029,01-02-2021 08:00,Glu,3,11,896,2.557,28.03,26.49,6.466,Failed,1.57,0.55,0.2,5.12,466,1.5,0.26
,25737,R28148,932-029,31-01-2021 13:14,Glu,3,4,2683,2.058,28.07,26.88,6.656,Failed,4.67,0.14,2,1.67,261,7.7,3.71
,25724,R28135,932-029,31-01-2021 12:44,Glu,2,9,768,2.191,28.12,26.98,6.393,Failed,0.9,0.07,0.5,0.54,142,10.6,2.97
,25723,R28134,932-029,31-01-2021 11:16,Glu,8,15,1724,2.293,29.87,25.57,6.749,Failed,1.05,0.01,1.3,2.24,266,7.4,5.46
,25723,R28134,932-029,31-01-2021 11:00,Glu,3,16,1731,2.347,30.72,25.62,6.643,Failed,1.1,0.05,0.4,3.12,250,6.1,2.36
,25723,R28134,932-029,31-01-2021 10:54,Glu,1,2,1737,2.194,29.19,26.52,7.204,Failed,1.05,0.17,0,4.49,35,24,5.53
,25731,R28142,932-029,31-01-2021 10:50,Glu,8,2,560,2.562,27.66,27.05,7.148,Failed,1.53,0.09,0.4,1.88,56,11.3,5.67
,25731,R28142,932-029,31-01-2021 10:28,Glu,1,2,565,2.629,28.05,26.75,7.005,Failed,1.65,0.11,0.2,0.68,139,17,3.66
,25736,R28147,932-029,31-01-2021 10:08,Glu,3,9,2019,2.574,28.4,26.43,6.379,Failed,4.55,0.13,0.5,1.48,78,5.7,2.65
,25725,R28136,932-029,29-01-2021 07:48,Glu,3,16,3462,2.623,34.14,23.7,6.145,Failed,1.73,0.17,0.4,2.22,174,5.7,4.11
,25650,R28086,932-029,26-01-2021 23:44,Glu,2,5,1816,2.476,29.76,27.32,6.617,Failed,1.63,0.14,1.5,4.07,271,6.1,0.17
,25646,R28082,932-029,26-01-2021 18:16,Glu,1,9,937,2.53,32.41,25.76,6.77,Failed,1,0.05,0.5,0.88,69,7.6,2.86
,25597,R28061,932-029,26-01-2021 17:50,Glu,2,9,2266,2.272,29.28,28.31,6.576,Failed,4.9,0.06,0.1,0.41,22,8.4,3.06
,25597,R28061,932-029,26-01-2021 17:46,Glu,1,1,2271,2.561,29.33,28.24,7.124,Failed,4.75,0.11,0.7,3.14,226,5.8,1.03
,25544,R28039,932-029,26-01-2021 17:34,Glu,7,9,1672,2.423,29.33,28.11,6.156,Failed,6.3,0.17,1.2,2.92,278,2.5,3.1
,25544,R28039,932-029,26-01-2021 17:20,Glu,2,10,1694,2.478,29.51,27.9,6.095,Failed,6.32,0.18,0.6,2.94,148,1,2.92
,25610,R28074,932-029,26-01-2021 08:08,Glu,8,1,2396,2.343,34.1,24.9,6.45,Failed,6.25,0.13,0.3,1.11,115,6.7,3.48
,25613,R28077,932-029,26-01-2021 07:10,Glu,8,1,1691,2.492,30.89,26.95,6.951,Failed,0.98,0.13,1.8,4.59,183,7.7,2.88
,25613,R28077,932-029,26-01-2021 06:54,Glu,3,1,1690,2.508,31.14,26.61,7.099,Failed,0.9,0.11,1.4,3.42,147,5.9,2.16
,25509,R28021,932-029,26-01-2021 06:38,Glu,8,2,1842,2.248,31.26,26.93,6.462,Failed,1.3,0.22,0.4,1.38,21,5.7,2.72
,25509,R28021,932-029,26-01-2021 06:18,Glu,1,7,1910,2.404,31.75,26.61,6.99,Failed,1.32,0.18,0.2,0.3,74,6.5,1.55
,25609,R28073,932-029,26-01-2021 05:50,Glu,2,9,2312,2.311,31.45,26.75,6.603,Failed,0.98,0.13,0.5,1.29,214,4.3,1.94
,25607,R28071,932-029,26-01-2021 05:20,Glu,1,4,1855,2.143,31.82,26.22,6.782,Failed,1.4,0.27,0.4,2.82,39,7.4,1.61
,25569,R28049,932-029,26-01-2021 04:58,Glu,2,6,1717,2.478,30.47,27.07,7.046,Failed,0.97,0.11,0.2,2.57,114,6.6,2.87
,25601,R28065,932-029,26-01-2021 03:24,Glu,3,9,3117,2.312,31.9,26.4,6.511,Failed,1.15,0.21,1.4,7.48,451,7.2,4.76
,25602,R28066,932-029,26-01-2021 01:50,Glu,2,3,2034,2.253,28.2,28.68,6.416,Failed,1.48,0.22,0.3,0.66,118,9.3,4.41
,25603,R28067,932-029,25-01-2021 23:22,Glu,1,10,2547,2.275,29.98,26.95,6.48,Failed,6.33,0.16,0.1,1.14,188,5.3,3.96
,25572,R28052,932-029,25-01-2021 14:14,Glu,8,4,569,2.505,30.82,26.13,6.501,Failed,6.15,0.04,0,2.55,145,1,1.91
,25540,R28035,932-029,22-01-2021 16:00,Glu,1,5,1536,2.599,36.02,24.32,6.985,Failed,0.95,0.04,0.5,0.85,219,8.2,1.14
,25542,R28037,932-029,22-01-2021 15:14,Glu,2,1,2362,2.519,31.82,26.35,7.068,Failed,1.7,0.14,0.1,2.21,127,6.2,3.74
,25532,R28027,932-029,21-01-2021 15:22,Glu,8,3,759,1.601,28.79,26.43,5.183,Failed,5.63,0.1,1.4,0.22,732,2.2,1.77
,25468,R27995,932-029,21-01-2021 08:38,Glu,1,9,874,2.433,29.56,26.93,6.918,Failed,1.9,0.19,0.4,1.95,369,10,0.71
,25371,R27958,932-029,19-01-2021 11:40,Glu,3,3,696,2.3,29.31,27.48,7.175,Failed,3.28,0.04,0,1.05,165,6.3,1.8
,25379,R27966,932-029,19-01-2021 01:24,Glu,1,5,637,2.577,29.58,27.88,6.834,Failed,4.57,0.02,0.6,2.98,76,4,4.27
,25466,R27993,932-029,19-01-2021 00:02,Glu,2,4,1605,2.538,29.38,27.95,6.599,Failed,1.27,0.24,1.8,1.1,450,4.6,4.65
,25342,R27929,932-029,18-01-2021 20:08,Glu,8,10,762,2.6,28.79,27.37,6.196,Failed,2.3,0.14,0.6,1.5,253,2.1,3.37
,25421,R27975,932-029,18-01-2021 18:50,Glu,8,5,1965,2.838,28.13,28.09,6.586,Failed,4.4,0.11,0.4,1.1,408,1.6,5.08
,25353,R27940,932-029,18-01-2021 16:02,Glu,1,2,578,2.741,27.31,28.24,6.705,Failed,2.33,0.1,0.2,2.44,4,6.3,2.55
,25356,R27943,932-029,18-01-2021 10:38,Glu,2,2,1506,2.508,26.23,28.08,6.944,Failed,2.4,0.13,0.7,3.41,43,7.6,2.34
,25356,R27943,932-029,18-01-2021 10:32,Glu,1,1,1512,2.577,26.57,27.94,6.889,Failed,2.18,0.22,0.5,4.93,736,16.6,6.94
,25417,R27971,932-029,18-01-2021 10:26,Glu,8,9,1016,2.708,26.82,27.65,6.923,Failed,2.33,0.07,0.6,0.15,116,5.7,1.97
,25354,R27941,932-029,15-01-2021 16:54,Glu,2,5,1418,2.359,32.07,25.32,6.864,Failed,2.22,0.11,0.1,0.24,73,6.8,4.07
,25354,R27941,932-029,15-01-2021 16:52,Glu,1,1,1419,2.524,31.68,25.57,7.195,Failed,2.17,0.1,0,0.68,144,10,4.15
,25347,R27934,932-029,15-01-2021 11:26,Glu,2,2,2275,2.47,27.58,28.92,5.517,Failed,2.27,0.1,0.1,4.3,503,0.6,0.55
,25348,R27935,932-029,14-01-2021 17:50,Glu,1,2,5174,2.39,28.97,27.11,6.084,Failed,1.42,0.14,0.3,5.43,412,0.2,0.2
,25339,R27926,932-029,14-01-2021 17:32,Glu,3,7,5997,2.308,30.39,26.13,6.279,Failed,1.62,0.02,0.2,2.88,409,0.7,1.46
,25343,R27930,932-029,14-01-2021 16:46,Glu,1,1,5250,2.116,29.21,26.66,7.014,Failed,1.37,0.02,0.4,0.93,64,6.2,1.91
,25338,R27925,932-029,14-01-2021 15:28,Glu,1,2,571,2.395,30.27,25.46,7.285,Failed,0.1,0.33,0.1,2.39,165,7.6,2.84
,25325,R27912,932-029,12-01-2021 23:52,Glu,2,11,908,2.404,28.37,28.08,5.721,Failed,1.72,0.24,0.2,3.99,511,0,1.02
,22637,R27904,932-029,12-01-2021 20:00,Glu,8,3,1653,2.472,27.44,28.5,7.284,Failed,2.82,0.02,1.9,3.3,66,4.6,2.81
,22449,R27858,932-029,12-01-2021 19:20,Glu,3,4,2400,2.438,28.03,28.11,5.663,Failed,2.1,0.07,0.4,3.21,476,1.3,3.03
,22465,R27874,932-029,11-01-2021 20:44,Glu,8,4,826,2.454,33.3,24.72,6.316,Failed,1.55,0.26,1.4,1.44,427,0.9,1.75
,22465,R27874,932-029,11-01-2021 20:30,Glu,3,2,835,2.54,33.35,25.02,6.194,Failed,1.53,0.12,1.5,7.17,528,4.1,3.6
,22457,R27866,932-029,08-01-2021 01:46,Glu,8,9,941,2.703,27.95,28.94,6.799,Failed,3.02,0.18,0.4,1.57,120,6.1,2.09
,22419,R27857,932-029,07-01-2021 23:12,Glu,3,1,1081,2.692,28.89,26.91,7.282,Failed,1.73,0.04,1.1,1.53,220,5.7,4.8
,22043,R27803,932-029,07-01-2021 12:22,Glu,3,4,5606,2.512,30.35,26.54,6.819,Failed,1.52,0.33,1.2,0.77,44,7.9,1.96
,22424,R27832,932-029,07-01-2021 09:28,Glu,4,4,978,2.674,30.22,26.54,6.594,Failed,1,0.15,0.7,0.8,68,6.9,3.28
,22041,R27801,932-029,07-01-2021 04:30,Glu,8,3,5709,2.433,27.65,28.59,6.456,Failed,1.58,0.14,1.4,2.29,395,2.6,4.71
,22051,R27811,932-029,07-01-2021 01:32,Glu,8,1,1029,2.664,27.65,28.57,7.211,Failed,1.35,0.29,0.8,0.89,209,7.6,2.54
,22402,R27840,932-029,06-01-2021 23:38,Glu,3,3,450,2.192,29.63,26.84,7.133,Failed,1.22,0.52,0.6,1.31,206,7.7,1.7
,21959,R27764,932-029,06-01-2021 13:28,Glu,3,9,523,2.907,30.93,26.13,6.675,Failed,1.28,0.19,1,2.21,156,8.1,3.38
,21959,R27764,932-029,06-01-2021 12:52,Glu,1,7,529,2.789,28.33,27.79,6.936,Failed,1.17,0.28,0.8,1.02,153,5.8,2.5
,22045,R27805,932-029,06-01-2021 12:30,Glu,3,15,732,2.68,28.82,27.72,6.772,Failed,1.18,0.48,0.3,0.52,264,9.6,1.7
,22008,R27783,932-029,06-01-2021 10:32,Glu,8,12,1133,2.61,30.62,25.64,5.74,Failed,1.2,0.27,1.1,2.37,482,1.7,2.07
,22422,R27824,932-029,06-01-2021 07:26,Glu,1,5,1073,2.377,28.72,27.49,6.449,Failed,1.3,0.22,1.3,8.49,123,0.2,0.07
,22033,R27793,932-029,06-01-2021 04:14,Glu,3,5,1395,2.525,27.26,28.85,5.938,Failed,1.33,0.23,1.5,0.77,533,3.9,3.42
,22034,R27794,932-029,06-01-2021 03:44,Glu,1,2,655,2.751,27.71,28.52,5.605,Failed,1.15,0.29,0.8,2.51,657,0.2,1.95
,22052,R27812,932-029,05-01-2021 22:34,Glu,1,5,549,2.438,28.27,26.79,5.87,Failed,1.05,0.3,0.4,3.7,444,0.8,0.69
,21993,R27768,932-029,05-01-2021 05:42,Glu,2,13,1183,2.506,31.18,26.24,6.033,Failed,0.95,0.3,0.2,4.02,627,0.5,0.88
,22005,R27780,932-029,30-12-2020 18:56,Glu,8,5,1598,2.434,30.03,26.73,6.062,Failed,1.33,0.19,1.6,0.85,188,2.2,5.1
,22005,R27780,932-029,30-12-2020 18:42,Glu,3,4,1622,2.523,30.3,26.66,6.782,Failed,1.15,0.21,1.3,0.04,14,6,6.03
,22005,R27780,932-029,30-12-2020 18:38,Glu,2,12,1624,2.491,30.17,26.73,5.733,Failed,1.18,0.14,2,4.19,293,0.9,2.91
,21887,R27722,932-029,30-12-2020 18:12,Glu,2,14,2408,2.506,31.98,25.87,6.226,Failed,3.5,0.4,0.8,2.05,125,0.4,2.38
,22000,R27775,932-029,30-12-2020 16:46,Glu,8,7,2007,2.609,31.03,26.43,5.898,Failed,1.12,0.26,0.8,0.2,17,0.7,5.79
,22000,R27775,932-029,30-12-2020 16:24,Glu,1,6,2007,2.629,32.88,25.3,6.988,Failed,1.03,0.19,0.1,0.24,361,9,1.91
,21992,R27767,932-029,30-12-2020 15:38,Glu,3,1,937,2.753,31.61,25.9,6.454,Failed,1.25,0.2,0.1,1.84,213,6.2,2.54
,21992,R27767,932-029,30-12-2020 15:36,Glu,2,16,938,2.758,31.72,25.83,5.738,Failed,1.08,0.29,0.7,1.16,26,0,1.71
,21952,R27757,932-029,30-12-2020 03:00,Glu,8,8,2236,2.804,30.5,28.29,6.283,Failed,0.97,0.28,0.1,1.77,55,3.6,5.32
,22001,R27776,932-029,30-12-2020 02:10,Glu,8,4,1501,2.444,30.19,28.13,6.386,Failed,1.1,0.22,1.5,9.57,665,2.2,5.28
,21958,R27763,932-029,30-12-2020 01:16,Glu,8,13,3100,2.683,30.29,27.35,7.05,Failed,3.15,0.33,0.4,1.34,322,6.5,0.74
,21955,R27760,932-029,30-12-2020 00:20,Glu,2,8,943,2.885,30.45,27.04,6.875,Failed,1.28,0.18,0.8,1.93,382,12.8,3.77
,21997,R27772,932-029,29-12-2020 23:38,Glu,1,9,2214,2.649,29.88,26.52,6.241,Failed,1.08,0.96,1.8,13.36,1086,0.6,4.26
,21919,R27739,932-029,29-12-2020 23:34,Glu,8,3,9030,2.484,30.2,26.38,6.429,Failed,1.32,0.21,1.3,0.01,75,7.1,3.25
,21961,R27766,932-029,29-12-2020 22:56,Glu,3,2,579,2.533,29.92,26.15,7.08,Failed,1.12,0.2,0.7,0.96,230,3.5,1.66
,21928,R27748,932-029,29-12-2020 09:16,Glu,8,7,7854,2.776,32.07,25.99,7.266,Failed,1.2,0.25,0.3,0.84,61,8,4.09
,21881,R27716,932-029,29-12-2020 07:06,Glu,8,4,8543,2.5,31.77,26.51,6.813,Failed,1.33,0.29,1.5,2.29,2,4.6,4.79
,21885,R27720,932-029,29-12-2020 05:04,Glu,3,2,593,2.34,33.28,25.34,6.703,Failed,1.85,0.45,2,3.42,227,7.6,0.12
,21948,R27753,932-029,29-12-2020 04:56,Glu,8,1,2112,2.668,33.92,25.64,7.244,Failed,3.25,0.11,0.6,0.76,265,7.3,2.03
,21913,R27733,932-029,29-12-2020 02:48,Glu,2,3,8497,2.509,31.08,27.18,7.03,Failed,3.48,0.32,1.2,1.78,296,6.5,6.34
,21913,R27733,932-029,29-12-2020 02:46,Glu,1,2,8500,2.415,31.35,27,6.365,Failed,3.55,0.16,1.5,3.49,69,1.4,2.77
,21946,R27751,932-029,29-12-2020 01:16,Glu,1,1,533,2.581,29.87,27.97,7.274,Failed,2.55,0.12,0.6,3.82,308,6.7,4.02
,21926,R27746,932-029,29-12-2020 00:24,Glu,8,15,7147,2.735,28.62,28.77,7.136,Failed,1.47,0.33,0.7,1.9,280,7.2,0.42
,21924,R27744,932-029,28-12-2020 22:16,Glu,2,5,9180,2.422,28.86,28.18,6.494,Failed,1.22,0.11,1.1,2.31,161,2.4,4.2
,21924,R27744,932-029,28-12-2020 22:14,Glu,1,7,9183,2.514,28.79,28.15,6.544,Failed,1.3,0.33,0.2,1.82,238,7,3
,21861,R27696,932-029,28-12-2020 20:30,Glu,2,1,1125,2.584,31.13,26.47,7.115,Failed,1.72,0.55,1.2,3.32,456,3.6,0.24
,21945,R27750,932-029,28-12-2020 20:20,Glu,8,4,1704,2.611,29.31,28.02,6.849,Failed,1.7,0.28,1.3,2.33,334,7.5,0.93
,21945,R27750,932-029,28-12-2020 20:02,Glu,3,9,1709,2.631,29.81,27.48,6.971,Failed,1.68,0.27,1.4,1.22,362,6.4,1.96
,21945,R27750,932-029,28-12-2020 19:58,Glu,2,8,1705,2.574,30.27,27.07,6.563,Failed,1.87,0.5,2.5,3.68,447,2.8,0.66
,21947,R27752,932-029,28-12-2020 19:50,Glu,8,1,7709,2.646,29.43,27.67,6.647,Failed,1.32,0.3,0.6,0.3,132,3.9,7.77
,21947,R27752,932-029,28-12-2020 19:32,Glu,2,8,7766,2.773,31.5,26.43,6.668,Failed,1.33,0.21,1.3,4.45,80,0.8,3.05
,21947,R27752,932-029,28-12-2020 19:26,Glu,1,3,7766,2.658,30.47,27.05,7.059,Failed,1.4,0.47,0.4,1.91,334,6.4,0.98
,21923,R27743,932-029,28-12-2020 17:52,Glu,2,7,677,2.509,30.96,26.42,6.263,Failed,2.45,0.07,1.2,4.12,33,2.4,4.42
,21922,R27742,932-029,28-12-2020 17:28,Glu,3,4,897,2.239,28.77,28.11,6.9,Failed,1.22,0.36,3,3.67,409,0.5,0.76
,21944,R27749,932-029,28-12-2020 17:00,Glu,3,2,585,2.513,28.99,27.81,6.663,Failed,1.92,0.3,2.4,4.15,438,2,0.45
,21944,R27749,932-029,28-12-2020 16:52,Glu,1,2,588,2.568,29.21,27.62,6.689,Failed,1.78,0.37,2.1,4.34,446,3.1,0.26
,22062,R27821,932-029,28-12-2020 16:22,Glu,3,2,539,2.572,29.02,27.74,6.886,Failed,2.38,0.25,0.6,0.95,349,8.4,1.55
,21916,R27736,932-029,28-12-2020 14:56,Glu,1,1,8049,2.656,29.31,27.04,6.491,Failed,1.4,0.45,1.5,3.48,299,5.7,0.5
,21865,R27700,932-029,28-12-2020 11:02,Glu,8,2,612,2.669,27.58,27.69,6.732,Failed,1.77,0.32,3.1,3.81,437,3.3,0.5
,21867,R27702,932-029,28-12-2020 09:42,Glu,8,14,1328,2.703,29.24,26.31,6.295,Failed,2.53,0.24,0.7,1.41,90,2,5.99
,21867,R27702,932-029,28-12-2020 09:26,Glu,3,5,1340,2.671,29.14,26.17,6.799,Failed,2.52,0.35,4.5,3.31,457,3.3,0.68
,21867,R27702,932-029,28-12-2020 09:24,Glu,2,16,1343,2.753,29.11,26.33,7.118,Failed,2.48,0.63,1.5,3.39,481,6.8,1.38
,21867,R27702,932-029,28-12-2020 09:18,Glu,1,2,1345,2.558,27.31,27.25,6.921,Failed,2.52,0.45,1.5,2.7,420,5.3,0.52
,21921,R27741,932-029,28-12-2020 09:14,Glu,8,8,1489,2.726,27.31,27.18,6.394,Failed,1.3,0.21,0.8,2.38,334,3.7,0.96
,21921,R27741,932-029,28-12-2020 09:00,Glu,3,3,1489,2.459,27.85,26.77,7.031,Failed,1.28,0.49,4,4.31,500,7.9,0.56
,21921,R27741,932-029,28-12-2020 08:56,Glu,2,9,1487,2.751,28.18,26.54,6.626,Failed,1.38,0.39,2.3,3.14,410,4.4,0.43
,21869,R27704,932-029,23-12-2020 12:28,Glu,3,2,1468,2.484,30.96,26.59,6.665,Failed,2.35,0.37,2.6,3.5,443,4.3,0.41
,21870,R27705,932-029,23-12-2020 11:14,Glu,8,14,1724,2.546,30.71,26.82,5.317,Failed,2.17,0.04,1.6,0.68,337,0.1,6.74
,21920,R27740,932-029,23-12-2020 08:48,Glu,2,2,2529,2.456,32.99,25.2,6.537,Failed,1.93,0.42,1.7,3.56,424,2.7,0.43
,21853,R27688,932-029,23-12-2020 03:52,Glu,3,12,8668,2.632,31.41,26.75,6.916,Failed,2.32,0.32,2.7,3.71,462,7.8,0.57
,21853,R27688,932-029,23-12-2020 03:50,Glu,2,6,8809,2.575,31.78,26.65,6.27,Failed,2.55,0.33,1.1,2.8,416,1.5,0.26
,21853,R27688,932-029,23-12-2020 03:46,Glu,1,2,8816,2.432,31.65,26.72,6.826,Failed,2.38,0.56,0.5,0.41,397,6.9,1.99
,21877,R27712,932-029,23-12-2020 03:34,Glu,5,9,8705,2.41,30.4,27.21,6.486,Failed,2.5,0.26,0.9,1.82,105,2.2,4.07
,21868,R27703,932-029,23-12-2020 03:14,Glu,2,6,8744,2.526,30.61,27.19,6.118,Failed,1.18,0.16,0.1,3.32,96,1.4,1.4
,21842,R27677,932-029,22-12-2020 13:52,Glu,8,8,457,2.439,34.36,24.32,6.408,Failed,1.98,0.31,0.1,0.85,264,6.2,1.04
,21847,R27682,932-029,22-12-2020 10:42,Glu,1,1,7803,2.584,31.73,26.12,6.947,Failed,2.28,0,1.1,4.41,167,4.1,4.85
,21822,R27672,932-029,22-12-2020 07:48,Glu,2,5,1097,2.654,32.3,25.62,7.222,Failed,1.38,0.49,0.9,2.93,255,6.8,0.74
,21822,R27672,932-029,22-12-2020 07:28,Glu,1,12,1097,2.666,32.83,25.48,6.807,Failed,1.37,0.32,0.1,1.99,73,2.9,2.52
,20608,R27281,932-029,21-12-2020 12:06,Glu,8,5,795,2.527,28.74,27.58,6.747,Failed,5.7,0.19,0.5,2.25,115,2,1.73
,21811,R27661,932-029,18-12-2020 03:46,Glu,1,16,3763,2.768,31.41,27.81,7.316,Failed,6.07,0.33,0.3,2.93,117,6,0.58
,21748,R27628,932-029,18-12-2020 02:28,Glu,3,9,3220,2.539,34.1,26.31,5.882,Failed,2.75,0.18,0.4,1.58,197,2.1,2.14
,21748,R27628,932-029,18-12-2020 02:24,Glu,2,2,3221,2.425,33.53,26.63,6.398,Failed,2.77,0.25,0.3,1.13,157,3.6,1.98
,21708,R27603,932-029,18-12-2020 01:58,Glu,1,1,3850,2.678,30.87,28.75,6.455,Failed,1.27,0.19,0.4,1.88,150,3.8,2.84
,21671,R27596,932-029,17-12-2020 09:58,Glu,3,7,1136,2.466,28.54,27.99,5.819,Failed,0.48,0.31,0.2,3.69,514,0.4,0.23
,21671,R27596,932-029,17-12-2020 09:56,Glu,2,6,1137,2.25,28.55,27.97,6.02,Failed,0.27,0.31,0.1,3.82,677,0.1,0.75
,21671,R27596,932-029,17-12-2020 09:52,Glu,1,6,1135,2.408,28.59,27.92,6.079,Failed,0.47,0.31,0.2,4.01,660,0.5,0.45
,21744,R27624,932-029,16-12-2020 13:12,Glu,3,11,1774,2.555,32.1,26.1,5.733,Failed,2.78,0.31,0.4,4.51,601,0.4,0.47
,21673,R27598,932-029,16-12-2020 12:08,Glu,2,8,1746,2.476,31.63,26.38,6.168,Failed,0.4,0.31,0.2,4.1,485,0.1,0.25
,21673,R27598,932-029,16-12-2020 12:06,Glu,1,2,1747,2.332,31.11,26.68,6.264,Failed,0.5,0.31,0.1,3.59,445,0.5,0.54
,21670,R27595,932-029,16-12-2020 11:18,Glu,8,10,1617,2.435,30.91,26.75,6.522,Failed,5.78,0.07,0,1.59,437,0.9,2.76
,21670,R27595,932-029,16-12-2020 11:02,Glu,3,9,1616,2.582,31.13,26.84,6.469,Failed,5.78,0.23,0.4,0.93,611,1.3,4.55
,21669,R27594,932-029,16-12-2020 09:22,Glu,3,12,1046,2.606,31.67,26.91,6.762,Failed,2.55,0.18,1.8,1.41,97,7.2,1.62
,21668,R27593,932-029,16-12-2020 05:40,Glu,6,3,1616,2.589,32.54,26.81,7.342,Failed,5.65,0.3,2.4,2.59,185,6.2,1.32
,21745,R27625,932-029,16-12-2020 04:54,Glu,8,5,1785,2.569,31.08,27.42,5.794,Failed,2.85,0.29,0.6,4.09,641,0.1,0.52
,21717,R27612,932-029,16-12-2020 04:18,Glu,8,14,1774,2.578,30.99,27.72,5.598,Failed,2.7,0.29,1,4.53,421,0.8,0.06
,21643,R27583,932-029,16-12-2020 02:18,Glu,3,6,564,2.638,30.2,28.75,6.007,Failed,1.8,0.32,0,4.19,409,0.6,0.82
,21609,R27564,932-029,16-12-2020 02:04,Glu,8,15,1701,2.665,30.12,28.61,5.508,Failed,1.92,0.33,0.1,4.04,478,0.1,0.78
,21609,R27564,932-029,16-12-2020 01:42,Glu,1,5,1730,2.421,29.55,28.39,6.303,Failed,1.98,0.25,0.8,0.06,419,0.4,0.95
,21666,R27591,932-029,16-12-2020 01:20,Glu,2,16,1548,2.582,29.93,28.11,6.106,Failed,0.25,0.3,0.6,2.61,507,1,1.09
,21667,R27592,932-029,16-12-2020 00:56,Glu,3,2,1820,2.55,29.44,27.94,6.583,Failed,0.32,0.27,1,2.31,493,1.6,2.85
,21710,R27605,932-029,16-12-2020 00:46,Glu,8,8,1144,2.51,29.78,27.78,6.243,Failed,1.75,0.34,0.6,4.21,444,0.1,0.21
,21710,R27605,932-029,16-12-2020 00:32,Glu,3,2,1160,2.433,29.48,27.55,6.524,Failed,1.93,0.33,0.3,2.06,406,1.1,1.13
,21710,R27605,932-029,16-12-2020 00:28,Glu,2,13,1159,2.53,29.75,27.48,6.282,Failed,1.72,0.28,0.2,3.12,678,2.1,3.62
,21711,R27606,932-029,15-12-2020 05:44,Glu,8,5,2075,2.597,34.22,26.01,5.85,Failed,4.43,0.26,0.6,4.64,543,1,0.17
,21711,R27606,932-029,15-12-2020 05:28,Glu,3,7,2081,2.578,33.46,26.29,5.721,Failed,4.48,0.28,0.6,2.66,425,1,0.12
,21600,R27555,932-029,15-12-2020 05:18,Glu,8,5,1921,2.717,34.39,25.76,5.89,Failed,2.78,0.27,1.4,4.32,655,0.5,0.09
,21640,R27580,932-029,15-12-2020 04:46,Glu,8,4,1424,2.632,31.68,27.88,6.654,Failed,0.43,0.33,0.4,0.43,453,7.1,3.75
,21639,R27579,932-029,15-12-2020 04:22,Glu,8,2,580,2.65,31.4,27.97,5.789,Failed,1.45,0.28,0.4,3.96,695,0.2,0.86
,21709,R27604,932-029,15-12-2020 03:58,Glu,8,12,1713,2.65,31.48,27.87,7.012,Failed,1.97,0.31,0.6,4.44,403,0.2,0.13
,21663,R27588,932-029,15-12-2020 02:34,Glu,2,5,1790,2.639,28.57,28.85,6.113,Failed,2.93,0.28,0.4,4.53,532,0.2,1.24
,21676,R27601,932-029,15-12-2020 00:02,Glu,3,2,902,2.41,28.17,27.21,6.319,Failed,1.72,0.3,1.3,3.98,531,1.9,0.41
,21676,R27601,932-029,14-12-2020 23:58,Glu,2,9,921,2.643,28.12,27.14,6.328,Failed,1.55,0.32,1.2,3.36,466,1.5,0.63
,21642,R27582,932-029,12-12-2020 03:30,Glu,3,9,1110,2.751,28.5,28.02,6.414,Failed,3.48,0.31,0.5,3.19,590,1.1,4.28
