time_betw_scan_min,CA,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,Tid i min Glu,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
1953,2.679,6.641,Approved,17.72,2.01,12.3,40.74,40.22,418,5.8,-0.52,21,13.58,-0.3,-0.01
3537,2.578,6.087,Approved,21.63,2,11,41.35,40.5,564,5.5,-0.85,21,11.31,-0.23,-0.12
1080,2.66,6.117,Approved,22.45,2.14,9.6,40.85,40,294,6.6,-0.85,32,11.7,-0.21,-0.05
1105,2.515,6.066,Approved,25.35,2.03,9.9,40.91,39.78,632,6.2,-1.13,21,15.31,-0.07,0.02
978,2.694,6.224,Approved,23.6,2.05,10.1,41.72,41.44,563,7.4,-0.28,21,9.75,-0.11,-0.03
6126,2.516,6.684,Approved,19.03,2.03,10.5,40.3,38.29,245,7.8,-2.01,65,14.22,-0.63,-0.15
778,2.652,6.092,Approved,26.8,1.99,10.6,40.7,39.85,619,6.1,-0.85,21,12.58,-0.08,-0.03
6216,2.44,6.486,Approved,23,1.98,10.5,39.87,38.31,467,7,-1.56,20,14.23,-0.62,-0.15
1132,2.61,5.875,Approved,22.63,2,10.8,41.83,40.51,426,6,-1.32,21,10.04,-0.24,-0.01
1636,2.52,6.744,Approved,20.9,1.83,10.7,40.95,39.71,585,8,-1.24,22,12.82,-0.34,-0.09
3142,2.52,5.74,Approved,21.63,1.86,9,37.1,36.47,488,6.3,-0.63,22,11.18,-0.07,0.03
1728,2.644,6.243,Approved,20.25,1.98,13,41.47,40.19,436,6,-1.28,30,14.75,0,0.03
995,2.496,5.897,Approved,16.5,1.97,10.9,40.19,38.07,444,6.6,-2.12,21,12.65,-0.41,-0.02
4,2.613,6.809,Approved,23.45,2.07,11.2,39.16,38.08,420,7.8,-1.08,32,12.79,-0.32,-0.1
2349,2.791,7.041,Approved,19.7,1.99,13.5,40.86,40.68,344,6.7,-0.18,35,8.4,-0.09,0.01
2010,2.769,6.683,Approved,21.45,1.99,11.2,40.94,40.35,452,7.8,-0.59,31,13.04,-0.15,-0.04
35430,2.385,6.909,Approved,23.9,2.07,9.8,36.48,33.5,431,5,-2.98,21,8.2,-0.15,-0.07
2767,2.59,6.756,Approved,19.42,2.02,10.6,41.17,40.29,305,8.2,-0.88,35,12.86,-0.41,-0.03
1872,2.645,6.035,Approved,24.75,1.93,11.7,41.4,40.66,611,5.1,-0.74,21,13.63,-0.24,-0.15
5416,2.62,6.067,Approved,20.88,1.98,10.5,41.49,40.73,564,4.7,-0.76,21,14.72,-0.22,-0.14
1589,2.499,6.514,Approved,21.82,2.01,9.7,41.7,39.74,528,6.7,-1.96,21,13.24,-0.27,0
3910,2.655,6.737,Approved,20.68,1.92,10.6,40.6,39.95,404,6,-0.65,32,10.88,-0.3,-0.09
1772,2.613,6.52,Approved,22.35,1.97,10.8,40.77,40.15,509,5.8,-0.62,21,10.28,-0.02,-0.01
1369,2.623,5.996,Approved,19.67,2.01,10.6,41.35,40.5,402,5.7,-0.85,21,12.77,-0.23,-0.01
3910,2.696,6.471,Approved,20.55,2.04,10.3,41.21,40.37,569,5.6,-0.84,21,11.46,-0.38,-0.1
4593,2.662,6.238,Approved,17.6,2.04,9.7,39.02,37.45,655,6.3,-1.57,21,12.7,-0.33,-0.07
2321,2.816,6.582,Approved,23.07,1.93,11.6,41.13,40.16,314,7.8,-0.97,21,14.23,-0.18,-0.05
1428,2.622,5.994,Approved,26.65,2.14,10.5,39.74,37.48,655,7.3,-2.26,21,13.35,-0.29,0.01
3168,2.605,5.571,Approved,25.08,1.97,10.9,40.9,40.17,431,4.8,-0.73,21,16.56,-0.18,-0.07
1018,2.54,6.144,Approved,21.83,2.12,10,39.16,37.05,379,8.8,-2.11,32,14.35,-0.14,0
81,2.502,5.498,Approved,16.82,1.99,9.8,41.66,40.66,521,4.4,-1,21,14.69,-0.18,-0.04
1344,2.288,5.961,Approved,22.13,1.96,12.5,40.9,40.1,361,7.1,-0.8,31,11.69,-0.25,0.07
1165,2.58,6.253,Approved,21.95,2.03,10.3,39.29,38.64,408,6.4,-0.65,21,10.94,-0.39,-0.08
1436,2.587,6.338,Approved,23.3,2.12,11.5,41.33,37.77,461,8.7,-3.56,21,12.8,-0.11,-0.04
1154,2.464,6.189,Approved,23.93,1.85,10.5,40.88,39.94,358,6.3,-0.94,32,11.02,-0.46,-0.01
221,2.69,6.693,Approved,21.6,2.04,11.2,41.07,40.47,334,5.3,-0.6,31,12.47,-0.45,-0.14
3135,2.769,6.155,Approved,22.33,2.04,9.8,39.81,39.23,415,7,-0.58,21,11.95,-0.18,-0.02
16081,2.755,7.373,Approved,23.57,2.04,11.1,40.68,39.56,382,7.9,-1.12,32,8.21,-0.13,0.02
2287,2.54,6.28,Approved,20.8,2.07,10.2,40.32,39.1,494,6.4,-1.22,31,13.16,-0.2,-0.08
5699,2.4,5.859,Approved,22.32,2.03,10.8,40.7,40.01,442,5.8,-0.69,21,12.7,-0.39,-0.17
82,2.908,6.078,Approved,21.93,2.01,12.3,40.91,40.26,444,5.4,-0.65,21,11.17,-0.37,-0.15
2847,2.657,6.202,Approved,22.83,2.08,9.3,38.6,35.51,552,5.4,-3.09,21,12.34,-0.18,-0.06
2625,2.557,6.19,Approved,24.42,1.97,10.6,41.77,40.88,507,5,-0.89,21,12.39,-0.22,-0.03
1064,2.815,6.663,Approved,22.53,2.04,11.5,40.58,39.82,306,6.2,-0.76,32,11.24,-0.35,-0.17
1173,2.301,6.297,Approved,22.07,2.04,11.3,41.16,40.17,483,8,-0.99,21,11.95,-0.08,-0.02
1159,2.725,7.085,Approved,20.17,2.09,11.1,38.8,36.86,310,12.1,-1.94,44,12.61,-0.27,-0.08
7112,2.964,5.884,Approved,20.32,2.1,10.5,39.15,37.36,511,7,-1.79,21,9.8,-0.3,-0.01
1669,2.812,6.777,Approved,24.13,2.03,10.8,38.98,37.71,487,7.2,-1.27,21,14.84,-0.13,-0.06
1272,2.567,7.064,Approved,22.23,2.08,11.2,41.06,40.38,379,5.8,-0.68,21,9.79,-0.17,-0.03
1257,2.698,5.916,Approved,25.87,2.03,10.7,41.6,39.95,484,5.8,-1.65,22,11.73,-0.17,-0.08
1284,2.728,6.093,Approved,20.68,2.05,9,37.15,35.03,610,7.8,-2.12,21,9.46,-0.17,-0.05
1560,2.448,6.998,Approved,19.97,2.01,12.1,40.77,39.55,329,10.8,-1.22,31,10.05,-0.1,-0.02
1380,2.602,6.054,Approved,24.63,2.08,9,39.44,37.43,505,7.6,-2.01,21,13.47,-0.56,-0.02
1992,2.574,6.483,Approved,27.2,2.1,10.2,40.17,39.6,191,7,-0.57,96,10.54,0,0.06
5747,2.432,6.423,Approved,21.82,1.8,11.2,40.73,40.08,287,7.2,-0.65,36,13.2,-0.5,-0.26
4292,2.576,6.105,Approved,21.55,1.94,11.6,41.41,39.91,542,7,-1.5,21,11.29,-0.48,0
1255,2.699,5.862,Approved,22.52,1.98,11.6,40.65,39.91,448,4.7,-0.74,21,14.09,-0.11,-0.02
899,2.475,6.146,Approved,22.62,2.03,11.1,40.51,40.16,458,5.3,-0.35,21,11.93,-0.22,0.01
1505,2.75,7.23,Approved,23.65,1.94,13,40.86,40.38,176,7.8,-0.48,135,9.46,-0.2,-0.02
1578,2.432,6.289,Approved,20.38,1.99,11.7,40.26,39.23,464,5.5,-1.03,21,11.95,-0.24,0.01
35,2.692,6.122,Approved,20.98,2.04,11.6,40.99,40.2,436,4.6,-0.79,10,13.87,-0.19,-0.03
1048,2.68,6.15,Approved,19.58,1.94,9.7,40.76,40.17,569,5.1,-0.59,22,11.94,-0.3,-0.04
1463,2.314,6.4,Approved,23.98,1.81,12.3,41.12,40.41,217,7.8,-0.71,92,12.71,-0.47,-0.08
98,2.735,5.921,Approved,24.28,2.16,10,39.51,38.24,780,5.8,-1.27,21,13.77,-0.09,-0.03
2442,2.466,6.366,Approved,19.95,2.03,11.6,41.24,39.2,426,8.2,-2.04,31,10.01,-0.22,-0.06
98,2.704,6.145,Approved,21.27,1.93,11.3,41.36,40.96,458,6.9,-0.4,22,11.77,-0.11,-0.07
10363,2.566,6.218,Approved,22.33,2.17,8.7,37.26,34.41,596,8,-2.85,21,9.99,-0.05,-0.02
2265,2.575,6.768,Approved,23.68,1.98,12.2,41.24,40.52,343,6.7,-0.72,32,12,-0.46,-0.04
4496,2.818,6.049,Approved,18.8,2.03,8.7,39.69,37.77,680,6.5,-1.92,31,11.88,-0.71,-0.26
2605,2.852,5.933,Approved,21.48,2.01,10.8,40.63,40.77,475,6.1,0.14,21,11.45,-0.09,-0.01
1411,3.015,6.044,Approved,20.83,2.07,10.6,39.6,38.53,469,8.8,-1.07,22,10.22,-0.24,-0.04
187,2.69,6.334,Approved,20.57,2.01,9.2,38.43,37.09,491,10,-1.34,21,14.36,-1.22,-0.58
1092,2.756,6.95,Approved,23.57,2.05,11.1,40.07,38.92,505,7.5,-1.15,21,12.43,-0.04,0.01
8684,2.613,6.987,Approved,22.52,2.29,8.9,36.1,33.18,560,10.3,-2.92,21,12.57,-0.21,-0.05
326,2.424,6.795,Approved,23.33,1.99,11,39.75,38.75,354,7,-1,32,9.79,-0.12,0.02
987,2.8,6.902,Approved,21.85,1.9,12,42.03,41,390,6.7,-1.03,32,10.13,-0.17,-0.08
31,2.779,6.688,Approved,20.88,1.99,9.7,37.74,34.27,394,11,-3.47,36,12.38,-0.38,-0.08
2953,2.37,5.752,Approved,21.5,2.02,10.6,40.53,39.5,508,6.3,-1.03,21,14.88,-0.07,0.06
301,2.55,5.96,Approved,18.3,2,10,40.91,39.74,637,5,-1.17,21,11.77,-0.01,0.05
5886,2.701,6.374,Approved,21.83,1.91,10.9,40.68,40.17,304,6.3,-0.51,32,11.4,-0.15,-0.07
1206,2.57,6.535,Approved,20.9,2.05,10.1,39.19,36.21,521,8.9,-2.98,21,11.23,-0.39,-0.05
4565,2.632,6.829,Approved,18.43,2.07,10.8,41,39.41,252,7.9,-1.59,81,12.97,-0.12,-0.01
473,2.63,5.748,Approved,24.42,1.98,11.9,41.44,39.72,1320,5.2,-1.72,21,10.79,-0.3,-0.06
968,2.558,6.223,Approved,20.5,1.98,10,41.44,40.19,802,4.8,-1.25,21,9.02,-0.33,-0.1
1071,2.254,5.684,Approved,21.82,1.96,12,40.68,40.35,472,5.4,-0.33,21,12.53,-0.33,-0.02
10150,2.461,6.488,Approved,21.33,1.97,10.2,40.03,39.04,606,7.8,-0.99,21,6.92,-0.16,-0.03
4206,2.681,6.288,Approved,24.4,1.97,12.6,41.44,40.76,360,5.4,-0.68,21,11.32,-0.26,-0.09
5994,2.46,5.612,Approved,22.3,1.89,9.2,39.84,37.14,464,6,-2.7,21,12.02,-0.49,-0.14
931,2.56,5.901,Approved,22.85,2.02,10.2,40.16,37.48,499,6.1,-2.68,20,12.69,-0.38,-0.07
5506,2.728,6.411,Approved,22.7,2.01,9.8,40.59,39.99,507,6,-0.6,21,14.68,-0.32,-0.07
1227,2.865,6.583,Approved,20.97,2.04,12.3,41.17,40.71,288,7.9,-0.46,35,13.2,-0.08,-0.06
3146,2.656,5.696,Approved,23.82,1.91,9.5,41.26,40.03,646,6.5,-1.23,21,10.61,-0.13,-0.04
1272,2.569,5.721,Approved,21.85,2.2,8.7,35.91,30.5,841,7.3,-5.41,21,12.29,-0.01,0.01
21676,2.828,6.957,Approved,17.95,1.92,10.9,40.44,39.92,272,7.3,-0.52,31,9.33,-0.38,-0.15
164,2.445,6.219,Approved,16.97,1.97,11,41.31,40.57,300,6.1,-0.74,32,9.27,-0.2,-0.02
9106,2.471,6.103,Approved,21.55,1.99,10.2,39.52,37.64,511,6.8,-1.88,21,12.19,-0.18,-0.02
4606,2.687,7.151,Approved,24.22,1.89,10,41.1,40.61,235,6.9,-0.49,53,13.15,-0.4,-0.11
1798,2.778,6.251,Approved,21.6,2.04,10.1,40.39,37.68,738,7.5,-2.71,21,10.86,-0.21,-0.1
7540,2.359,6.467,Approved,21.98,1.94,10,40.45,39.13,537,7.3,-1.32,21,10.07,-0.68,-0.13
1982,2.454,6.1,Approved,24.3,2.07,11.2,41.17,40.65,509,4.9,-0.52,22,14.63,-0.21,-0.05
8804,2.518,5.325,Approved,28.22,2.05,11.2,40.59,39.91,377,4.3,-0.68,21,11.97,-0.04,0.01
1208,2.532,6.228,Approved,18.83,2.1,9.8,36.5,33.17,362,8.5,-3.33,32,13.6,-0.39,-0.01
5252,2.45,5.388,Approved,19.97,1.92,10.1,41.47,39.52,426,6.5,-1.95,21,15.65,-0.15,-0.04
24,2.567,6.458,Approved,20.53,2.11,10.2,41.51,40.37,353,6.3,-1.14,32,10.3,-0.18,-0.03
2696,2.669,6.051,Approved,24.3,1.98,11,40.4,39.02,753,5.6,-1.38,21,11.91,-0.1,-0.01
1142,2.935,7.281,Approved,23.28,2.11,11.6,40.64,39.92,264,8.3,-0.72,21,8.67,-0.15,-0.01
2869,2.418,5.806,Approved,23.25,2.2,11.2,34.66,30.37,859,7.9,-4.29,32,11.34,-0.23,-0.1
5848,2.836,6.274,Approved,22.63,1.99,10.6,40.62,39.81,300,5.2,-0.81,32,11.75,-0.21,-0.05
1364,3.134,6.806,Approved,22.77,2.04,12.8,41.09,40.38,263,6.2,-0.71,36,12.17,-0.06,0.01
2895,2.645,5.805,Approved,25.17,2.02,10.4,41.75,41.01,625,5.4,-0.74,21,12.81,-0.12,0.05
782,2.025,5.586,Approved,21.33,2.04,15.2,41.13,40.82,576,4.3,-0.31,21,10.3,-0.05,0.05
1302,2.698,5.348,Approved,21.27,1.94,9.1,40.76,39.45,543,5.6,-1.31,21,10.64,-0.39,-0.05
1380,2.701,6.41,Approved,26.2,2.09,11.6,40.06,39.08,453,5.5,-0.98,21,11.29,-0.1,0.01
1396,2.79,6.694,Approved,22.93,1.99,12,41.24,40.41,399,7.1,-0.83,20,13.1,-0.48,-0.03
9518,2.573,6.656,Approved,25.62,2.1,12.9,40.66,40.25,411,5.9,-0.41,22,11.56,-0.11,0.01
4065,2.591,5.844,Approved,24.1,1.98,10.2,39.66,37.94,586,7.9,-1.72,21,14.94,-0.19,-0.03
2437,2.4,5.837,Approved,22.12,2.07,9.6,39.5,36.51,506,7.7,-2.99,21,11.7,-0.39,-0.14
2607,2.549,6.497,Approved,18.45,2.08,10.4,40.92,40.39,466,5.6,-0.53,31,9.27,-0.39,-0.05
12809,2.334,6.229,Approved,22.27,2.07,12.3,40.92,40.35,247,5.5,-0.57,45,10.23,-0.55,-0.02
8570,2.545,5.964,Approved,16.57,1.89,10.7,40.46,40.18,406,5.7,-0.28,21,13.23,-0.36,-0.03
1335,2.682,6.705,Approved,22.52,1.93,9.7,40.61,40.21,429,6.9,-0.4,32,10.68,-0.02,0
15859,2.343,6.373,Approved,19.23,2.02,10.4,41.24,41.12,415,6,-0.12,32,12.21,-0.04,0.03
4388,2.64,6.178,Approved,18.73,1.99,10.1,40.97,40.63,515,6.2,-0.34,22,12.65,-0.25,-0.08
983,2.468,7.251,Approved,23.92,2.14,11.9,39,36.72,357,12,-2.28,35,13.59,-0.7,-0.02
1362,2.373,6.116,Approved,26.72,2.09,11.4,40.41,39.86,386,5.9,-0.55,31,15.84,-0.1,0.02
1722,2.286,5.981,Approved,20.42,1.99,11.6,41.32,40.04,418,7.5,-1.28,21,13.5,-0.05,-0.01
1545,2.69,6.522,Approved,24.42,2.07,9.7,40.12,37.72,626,8.5,-2.4,21,11.06,-0.02,-0.01
918,2.66,6.483,Approved,21.47,2.06,10.4,40.14,39.46,506,7.8,-0.68,21,14.15,-0.16,0.01
855,3.035,6.957,Approved,21.72,2.02,12.3,40.98,38.99,761,7.6,-1.99,21,10.77,-0.34,-0.06
5945,2.251,6.164,Approved,21.83,2.19,9.7,36.93,34.58,701,7.6,-2.35,21,11.05,-0.7,-0.19
1413,2.79,5.543,Approved,23.45,2.03,9.6,42.06,41.2,720,6.4,-0.86,21,13.4,-0.04,0.03
936,2.636,6.108,Approved,27.55,2.06,9.9,40.63,39.88,557,4.5,-0.75,21,11,-0.07,0.01
1534,2.621,5.171,Approved,26.07,2.06,9.6,41.02,39.36,870,5.4,-1.66,21,10.78,-0.02,0.01
1672,2.536,5.997,Approved,27.67,2.02,10.4,41.08,39.49,738,5.1,-1.59,21,12.78,-0.08,-0.01
1097,2.54,6.269,Approved,20.67,1.94,10.6,41.25,40.3,527,6,-0.95,21,12.33,-0.12,-0.05
1814,2.803,6.258,Approved,24.7,2.01,10,40.9,39.66,573,7,-1.24,21,11.47,-0.04,-0.01
1316,2.707,5.866,Approved,21.57,2.09,9.8,38.85,36.97,832,8,-1.88,22,9.86,0,0.02
96,2.445,6.242,Approved,18.38,2.01,9.3,39.05,36.64,681,7.2,-2.41,21,11.61,-0.03,0.03
2696,2.483,6.096,Approved,16.97,2.04,11.7,41.31,40.76,459,5.5,-0.55,22,9.57,-0.1,0
1698,2.806,7.386,Approved,25.42,2.07,11.1,40.65,39.94,399,6.9,-0.71,30,10.13,-0.14,-0.04
100,2.224,5.637,Approved,22.42,2.08,10,38.68,37.61,643,4.7,-1.07,21,12.04,-0.33,-0.04
35,2.766,6.447,Approved,24.15,2.06,11.7,39.52,39.17,236,8.2,-0.35,76,10.38,-0.29,-0.07
5123,2.583,6.084,Approved,21.8,1.93,10,40.19,39.42,468,4.7,-0.77,21,12.49,-0.06,0.01
1694,2.484,6.289,Approved,21.58,1.94,9.5,40.09,38.09,571,6.8,-2,21,14.54,-0.18,-0.05
1466,2.695,6.233,Approved,20.4,1.91,10.2,41.24,39.87,345,6.3,-1.37,36,16.03,-0.12,-0.1
190,2.421,6.167,Approved,22.5,1.97,10.1,40.87,39.84,473,6,-1.03,21,12.51,-0.14,-0.02
1703,2.411,5.55,Approved,22.05,2.01,11.5,40.31,39.95,480,6.2,-0.36,21,10.8,-0.21,0.03
1901,2.75,6.035,Approved,22.75,2.03,10.8,41.4,40.9,524,5.6,-0.5,21,11.87,-0.01,0.01
1388,2.363,5.793,Approved,23.25,1.98,9.8,41.56,40.13,944,7,-1.43,21,11.55,-0.13,0.01
1787,2.409,5.834,Approved,26.15,1.95,10.4,41.4,40.05,771,6.1,-1.35,21,9.77,-0.19,0.01
4489,2.723,6.3,Approved,19.58,2,13.2,41.52,41.03,287,7.3,-0.49,44,9.33,-0.12,-0.04
3121,2.376,6.251,Approved,22.73,1.93,11.4,41.57,39.68,702,6.5,-1.89,21,13.93,-0.46,-0.24
20515,2.748,5.993,Approved,24.85,1.95,10.9,40.48,39.39,342,7.4,-1.09,31,14.08,-0.36,-0.2
2496,2.871,6.825,Approved,22.1,1.96,12,41.36,40.82,337,6.7,-0.54,32,12.52,-0.32,-0.13
7237,2.551,6.127,Approved,26.58,2.12,10.5,40.44,38.85,430,6.6,-1.59,31,11.93,-0.06,-0.02
1209,2.7,5.344,Approved,22.45,2,10,41.18,39.45,889,5.8,-1.73,20,17.1,-0.16,-0.03
984,2.445,6.629,Approved,23.88,1.96,11,41.13,40.25,377,7.1,-0.88,21,11.3,-0.51,-0.12
1707,2.443,6.806,Approved,19.6,1.99,12.7,40.91,40.03,427,5,-0.88,21,12.83,-0.29,0
6127,2.501,6.355,Approved,19.03,2.06,11.1,40.77,40.04,309,6.4,-0.73,36,11.18,-0.39,-0.09
1122,2.523,6.206,Approved,21.72,2.02,11.5,41.24,40.74,537,5.7,-0.5,21,11.85,-0.09,0
5874,2.428,6.225,Approved,21.18,1.97,10.4,41.48,40.68,394,5.3,-0.8,21,14.52,-0.19,-0.06
166,2.581,6.206,Approved,24.37,2.04,10.4,40.59,39.3,483,7,-1.29,21,12.88,-0.2,-0.08
4214,2.76,5.456,Approved,19.97,2.12,10.3,38.3,36.18,384,10.5,-2.12,32,14.72,-0.35,-0.1
7221,2.86,6.353,Approved,22.28,1.85,11.2,40.32,39.63,285,8,-0.69,40,12.74,-0.39,-0.2
7088,2.64,6.583,Approved,16.43,2,11.8,41.11,40.39,259,7.2,-0.72,40,10.25,-0.33,-0.02
2094,2.671,5.711,Approved,25.67,2.04,12,41.12,40.47,433,5.4,-0.65,21,9.83,-0.22,-0.02
3051,2.43,7.116,Approved,24.88,2.14,10.9,38.38,35.03,446,8.3,-3.35,31,14.97,-0.65,-0.1
1321,2.703,5.899,Approved,26.55,2.02,10.1,40.94,40.8,524,5.2,-0.14,21,9.7,-0.13,0
2938,2.595,6.333,Approved,23.77,1.93,11.5,41.82,40.51,559,8.6,-1.31,22,9.15,-0.41,-0.14
438,2.695,6.925,Approved,22.65,1.88,9.8,40.63,39.42,360,9.2,-1.21,32,12.41,-0.6,-0.22
1181,2.805,6.522,Approved,19.58,1.99,12.9,40.76,40.2,341,5.3,-0.56,21,11.43,-0.31,-0.02
29,2.619,6.447,Approved,19.63,2.01,12.9,41.08,40.35,374,4.9,-0.73,30,11.7,-0.33,-0.02
1710,2.789,5.761,Approved,25.97,1.96,9.9,41.34,40.44,500,6.5,-0.9,21,14.09,-0.42,-0.11
5955,2.889,6.117,Approved,19.6,2.1,10.1,39.28,38.65,423,10,-0.63,31,13.38,-0.04,-0.02
994,2.768,6.807,Approved,20.52,1.96,13.3,41.27,40.55,310,7,-0.72,36,11.4,-0.07,-0.02
1206,2.899,6.302,Approved,21.25,2.08,10,38.31,35.63,425,12,-2.68,32,10.4,-0.22,-0.13
1072,2.524,6.561,Approved,26.62,1.98,10.5,40.31,39.58,433,5.9,-0.73,21,13.3,-0.16,-0.03
4217,2.589,7.114,Approved,25.28,1.96,10.9,40.58,39.42,396,9.8,-1.16,32,9.89,-0.49,-0.16
4644,2.61,6.955,Approved,23.67,2,10.8,41,40.22,379,8.2,-0.78,37,11.53,-0.48,-0.08
343,2.856,5.84,Approved,22.28,2.02,11.6,41.34,40.18,591,5.4,-1.16,21,13.79,-0.07,-0.01
663,2.438,5.6,Approved,22.73,1.99,10.1,41.06,40.5,787,5.3,-0.56,21,9.39,-0.01,0.01
814,2.413,6.474,Approved,20.92,2.01,11.9,40.62,39.28,711,7.7,-1.34,20,13.53,-0.45,-0.04
1252,2.7,6.165,Approved,23.63,2.03,9.5,40.87,39.68,342,7,-1.19,32,13.8,-0.1,-0.03
2481,2.53,6.399,Approved,21.48,1.94,10.7,40.04,39.62,384,7.5,-0.42,32,12.51,-0.18,0
273,2.89,6.806,Approved,21.73,1.95,12.4,41.2,41.08,745,6.3,-0.12,21,12.87,-0.25,-0.06
1496,2.572,6.668,Approved,19.15,1.86,12.8,41.61,40.99,214,6.9,-0.62,82,10.72,-0.13,-0.06
2093,2.629,6.034,Approved,20.98,2.15,10.2,38.81,36.75,499,8.4,-2.06,22,13.54,-0.13,-0.04
1293,2.633,6.618,Approved,22.95,2.03,12.3,41.34,40.61,357,5.3,-0.73,30,12.62,-0.36,-0.05
604,2.39,6.284,Approved,20.75,1.93,11.6,41.49,40.58,471,6.2,-0.91,21,13.53,-0.17,-0.06
1340,2.072,6.337,Approved,22.23,1.99,12,41.33,40.36,555,5.3,-0.97,21,12.48,-0.15,0.03
1799,2.731,6.244,Approved,19.93,2.01,10.4,41.33,40.66,474,5.2,-0.67,36,7.54,-0.13,-0.03
14030,2.665,5.873,Approved,20.37,2,11.7,41.07,40.12,662,5,-0.95,22,11.46,-0.3,-0.12
1380,2.393,6.026,Approved,23.78,1.98,9.9,39.09,37.05,567,7.5,-2.04,21,14.96,-0.13,-0.04
1459,2.721,6.666,Approved,20.35,2.06,11.8,40.96,40.07,315,6.1,-0.89,10,9.51,-0.33,-0.04
20163,2.558,6.14,Approved,22.28,1.83,10.4,41.05,39.3,399,7.4,-1.75,32,13.34,-0.35,-0.24
5341,2.704,6.696,Approved,22.23,1.75,10.3,39.48,39.21,260,9.5,-0.27,64,12.31,-0.09,-0.04
1059,2.666,6.2,Approved,21.57,2.09,9.6,39.35,37.48,693,6.1,-1.87,21,10.99,-0.53,-0.17
2513,2.582,7.168,Approved,22.57,1.9,11.8,40.99,40.2,377,8.2,-0.79,32,10.68,-0.36,-0.19
226,2.697,6.258,Approved,21.63,2,9.6,42.07,42.05,711,5.3,-0.02,21,13.22,-0.04,0.01
1108,2.351,5.868,Approved,20.67,1.94,10.1,41.32,40.69,515,4.9,-0.63,21,10.7,-0.12,-0.03
533,2.567,5.758,Approved,22.83,2.03,11.7,41.39,40.58,340,4.6,-0.81,32,13.06,-0.18,-0.02
1512,2.35,5.899,Approved,21.87,1.97,9.8,40.56,39.19,566,5.6,-1.37,21,10.11,-0.41,-0.03
9688,2.542,6.235,Approved,23.8,2.1,9.9,40.66,38.83,554,7.3,-1.83,21,12.73,-0.19,0.01
1036,2.632,5.538,Approved,23.28,2.05,10.1,40.93,39.39,536,6.2,-1.54,21,13.23,-0.04,0.07
992,2.6,5.527,Approved,21.53,2.01,11.6,41.05,41.27,539,4.5,0.22,21,14.48,-0.19,-0.03
21614,2.676,6.108,Approved,18.2,2.07,10.7,41.42,40.31,741,4.6,-1.11,21,10.16,-0.17,-0.01
901,2.606,6.091,Approved,22.83,1.95,10.8,41.43,40.94,709,5.7,-0.49,21,12.38,-0.25,-0.07
1149,2.447,5.853,Approved,23.78,2.03,11.4,40.55,40,334,4.9,-0.55,32,11.18,0.03,0
1201,2.644,6.564,Approved,27.95,2.14,8.4,35.61,33.05,455,7.9,-2.56,21,9.58,-0.19,-0.03
1407,2.707,6.651,Approved,21.87,2.58,10.6,40.15,39.92,363,6,-0.23,32,13.25,-0.06,-0.04
1376,2.938,5.409,Approved,21.35,1.99,9.8,41.46,40.21,627,6.7,-1.25,21,15.01,-0.07,-0.01
2674,2.561,6.237,Approved,18.68,1.98,10.1,40.35,39.41,476,7.7,-0.94,21,14.35,-0.84,-0.3
77,2.529,6.749,Approved,23.83,1.99,12,40.35,40.26,326,6.1,-0.09,32,12.75,-0.25,-0.04
1496,2.68,6.009,Approved,16.12,2.08,11.4,39.78,39.09,413,6,-0.69,21,13.21,-0.08,0.03
1777,1.919,6.682,Approved,23.97,1.97,10.6,40.47,39.75,412,5.7,-0.72,32,13.47,-0.18,-0.03
2003,2.596,5.979,Approved,26.17,1.88,12.1,41.41,40.49,593,5.2,-0.92,21,11.8,-0.51,-0.26
3030,2.59,5.928,Approved,22.85,2.03,9.6,41.57,40.38,519,5.8,-1.19,21,11.91,-0.44,-0.13
4251,2.668,6.47,Approved,24.22,2.08,10.6,41.01,40.35,330,6.3,-0.66,32,11.61,-0.29,-0.08
1283,2.567,5.624,Approved,20.55,2.08,9.2,37.92,35.11,752,5.9,-2.81,21,12.25,-0.1,0.01
1375,2.495,6.136,Approved,23.8,1.96,10.7,40.56,39.28,507,5,-1.28,21,11.08,-0.22,-0.07
1452,2.454,6.595,Approved,20.43,1.95,11.6,41.26,40.41,411,7.6,-0.85,31,10.58,-0.14,-0.06
1451,2.527,6.789,Approved,18.1,2.01,11.6,40.87,40.27,349,6.5,-0.6,32,11.5,-0.24,-0.04
1042,2.543,6.288,Approved,20.98,2.03,11.9,40.9,40.04,349,6.3,-0.86,32,10.67,-0.39,-0.07
1549,2.485,6.602,Approved,18.08,1.89,11.5,40.57,39.81,320,6.7,-0.76,32,10.59,-0.27,-0.04
1311,2.046,5.683,Approved,22.7,2.02,11.1,40.33,39.75,415,6.3,-0.58,21,12.17,-0.32,0.01
3151,2.601,6.086,Approved,23.8,1.96,9.3,40.92,38.68,561,7.5,-2.24,21,11.2,-0.14,-0.03
12,2.445,5.736,Approved,23.82,2.01,10.5,40.2,40.49,529,5.4,0.29,21,8.9,0,0.06
1543,2.923,5.976,Approved,21.6,1.97,10.2,41.14,40.05,480,7.2,-1.09,21,12.11,-0.12,0
