bcr_dir,RunNumber,PartNumber,Teststart,Sensor,BoardNr,ArrayNr,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
,R28818,932-029,18-03-2021 00:00,Glu,8,12,Approved,0.97,0.18,0.3,2.76,353,3,0.91
,R28816,932-029,18-03-2021 00:00,Glu,8,12,Approved,1,0.28,1,4.29,213,0.5,0.31
,R28842,932-029,18-03-2021 00:00,Glu,4,1,Approved,1.02,0.18,0.2,3.15,77,0.2,0.79
,R28864,932-029,18-03-2021 00:00,Glu,1,10,Approved,1.12,0.21,1.4,4.23,241,1,0.46
,R28866,932-029,18-03-2021 00:00,Glu,1,14,Approved,1.13,0.24,0.2,3.53,175,0.1,0.03
,R28827,932-029,18-03-2021 00:00,Glu,8,6,Approved,1,0.22,0.1,3.91,14,0.1,0.44
,R28827,932-029,18-03-2021 00:00,Glu,3,5,Approved,1,0.23,0.9,4.5,172,0.1,0.12
,R28802,932-029,17-03-2021 07:11,Glu,5,3,Approved,1.92,0.32,1.7,4.09,271,0.3,0.94
,R28802,932-029,17-03-2021 07:11,Glu,6,4,Approved,1.83,0.39,1.2,3.74,236,1.1,0.59
,R28802,932-029,17-03-2021 07:11,Glu,8,1,Approved,1.83,0.26,0.2,1.67,90,1.8,2.51
,R28784,932-029,17-03-2021 07:10,Glu,8,7,Approved,0.68,0.31,1.2,4.14,280,0.2,0.21
,R28784,932-029,17-03-2021 07:10,Glu,2,6,Approved,0.67,0.35,0.5,3.41,192,1,0.74
,R28784,932-029,17-03-2021 07:10,Glu,3,12,Approved,0.68,0.3,0.5,3.6,148,1.5,0.08
,R28785,932-029,17-03-2021 07:10,Glu,1,3,Approved,0.78,0.31,1.2,4.3,193,0.5,0.73
,R28785,932-029,17-03-2021 07:10,Glu,8,5,Approved,0.75,0.22,0.5,2.67,37,2.3,0.91
,R28785,932-029,17-03-2021 07:10,Glu,2,7,Approved,0.72,0.28,2.2,4.35,317,0.7,0.6
,R28789,932-029,17-03-2021 07:07,Glu,3,6,Approved,1.95,0.36,1.2,3.74,306,1.2,0.23
,R28789,932-029,17-03-2021 07:07,Glu,1,12,Approved,1.9,0.3,1.5,3.92,260,0.2,0.84
,R28789,932-029,17-03-2021 07:07,Glu,2,8,Approved,1.83,0.31,1.3,4.02,198,0.8,0.94
,R28822,932-029,17-03-2021 07:07,Glu,2,3,Approved,1.92,0.32,1.5,4.49,302,0.3,0.59
,R28822,932-029,17-03-2021 07:07,Glu,8,8,Approved,1.78,0.31,1.3,3.63,178,0.1,0.64
,R28822,932-029,17-03-2021 07:07,Glu,3,6,Approved,1.88,0.25,0.2,0.91,171,1.3,2.11
,R28822,932-029,17-03-2021 07:07,Glu,1,2,Approved,1.82,0.28,1.2,2.74,340,3.9,1.59
,R28779,932-029,17-03-2021 07:06,Glu,1,6,Approved,0.73,0.2,0.5,1.33,95,1,1.47
,R28779,932-029,17-03-2021 07:06,Glu,8,2,Approved,0.67,0.24,0.1,2.1,66,2.3,2.26
,R28779,932-029,17-03-2021 07:06,Glu,3,8,Approved,0.68,0.34,1,4.35,200,0.7,0.81
,R28779,932-029,17-03-2021 07:06,Glu,2,8,Approved,0.65,0.33,0.6,4.36,203,0.9,0.51
,R28824,932-029,17-03-2021 07:06,Glu,2,16,Approved,1.8,0.33,1.1,2.08,282,2.2,0.77
,R28824,932-029,17-03-2021 07:06,Glu,3,11,Approved,1.78,0.31,0.2,1.43,136,2.8,2.2
,R28824,932-029,17-03-2021 07:06,Glu,8,7,Approved,1.8,0.3,0.9,2.05,202,3.3,0.8
,R28824,932-029,17-03-2021 07:06,Glu,1,2,Approved,1.82,0.3,0.8,2.82,224,2.6,1.46
,R28737,932-029,17-03-2021 07:05,Glu,3,5,Approved,0.68,0.28,0.2,3.57,28,0.2,0.78
,R28737,932-029,17-03-2021 07:05,Glu,1,3,Approved,0.68,0.35,1.1,4.37,279,0.2,0.76
,R28737,932-029,17-03-2021 07:05,Glu,2,6,Approved,0.75,0.32,1.4,4.61,289,0.3,0.66
,R28821,932-029,17-03-2021 07:05,Glu,1,2,Approved,1.73,0.24,1.3,3.82,337,0.4,0.25
,R28821,932-029,17-03-2021 07:05,Glu,2,4,Approved,1.77,0.31,1.3,2.13,304,2.5,0.65
,R28821,932-029,17-03-2021 07:05,Glu,8,6,Approved,1.8,0.32,0.9,3.09,275,2,1.47
,R28821,932-029,17-03-2021 07:05,Glu,3,11,Approved,1.88,0.34,2,3.79,331,0.7,0.82
,R28758,932-029,17-03-2021 07:05,Glu,8,6,Approved,0.75,0.32,1.2,4.24,213,0.2,0.29
,R28758,932-029,17-03-2021 07:05,Glu,3,14,Approved,0.75,0.26,0.9,4.36,32,0.8,0.71
,R28758,932-029,17-03-2021 07:05,Glu,2,5,Approved,0.77,0.3,1.1,4.08,142,0.2,1.05
,R28758,932-029,17-03-2021 07:05,Glu,1,5,Approved,0.68,0.31,1.6,4.44,278,0.2,0.85
,R28811,932-029,17-03-2021 07:03,Glu,8,3,Approved,1.8,0.34,0.4,1.38,224,0.8,1.17
,R28811,932-029,17-03-2021 07:03,Glu,2,5,Approved,1.83,0.24,1.8,4.1,330,0.8,0.68
,R28811,932-029,17-03-2021 07:03,Glu,3,7,Approved,1.8,0.33,2.4,4.26,341,0,0.97
,R28811,932-029,17-03-2021 07:03,Glu,1,1,Approved,1.77,0.31,1.4,3.79,261,0.3,0.87
,R28779,932-029,17-03-2021 00:00,Glu,1,6,Approved,0.73,0.2,0.5,1.33,95,1,1.47
,R28822,932-029,17-03-2021 00:00,Glu,1,2,Approved,1.82,0.28,1.2,2.74,340,3.9,1.59
,R28784,932-029,17-03-2021 00:00,Glu,3,12,Approved,0.68,0.3,0.5,3.6,148,1.5,0.08
,R28811,932-029,17-03-2021 00:00,Glu,8,3,Approved,1.8,0.34,0.4,1.38,224,0.8,1.17
,R28789,932-029,17-03-2021 00:00,Glu,3,6,Approved,1.95,0.36,1.2,3.74,306,1.2,0.23
,R28758,932-029,17-03-2021 00:00,Glu,8,6,Approved,0.75,0.32,1.2,4.24,213,0.2,0.29
,R28737,932-029,17-03-2021 00:00,Glu,3,5,Approved,0.68,0.28,0.2,3.57,28,0.2,0.78
,R28779,932-029,17-03-2021 00:00,Glu,8,2,Approved,0.67,0.24,0.1,2.1,66,2.3,2.26
,R28811,932-029,17-03-2021 00:00,Glu,2,5,Approved,1.83,0.24,1.8,4.1,330,0.8,0.68
,R28822,932-029,17-03-2021 00:00,Glu,2,3,Approved,1.92,0.32,1.5,4.49,302,0.3,0.59
,R28784,932-029,17-03-2021 00:00,Glu,2,6,Approved,0.67,0.35,0.5,3.41,192,1,0.74
,R28779,932-029,17-03-2021 00:00,Glu,3,8,Approved,0.68,0.34,1,4.35,200,0.7,0.81
,R28821,932-029,17-03-2021 00:00,Glu,2,4,Approved,1.77,0.31,1.3,2.13,304,2.5,0.65
,R28802,932-029,17-03-2021 00:00,Glu,6,4,Approved,1.83,0.39,1.2,3.74,236,1.1,0.59
,R28737,932-029,17-03-2021 00:00,Glu,1,3,Approved,0.68,0.35,1.1,4.37,279,0.2,0.76
,R28802,932-029,17-03-2021 00:00,Glu,5,3,Approved,1.92,0.32,1.7,4.09,271,0.3,0.94
,R28811,932-029,17-03-2021 00:00,Glu,3,7,Approved,1.8,0.33,2.4,4.26,341,0,0.97
,R28758,932-029,17-03-2021 00:00,Glu,2,5,Approved,0.77,0.3,1.1,4.08,142,0.2,1.05
,R28821,932-029,17-03-2021 00:00,Glu,8,6,Approved,1.8,0.32,0.9,3.09,275,2,1.47
,R28758,932-029,17-03-2021 00:00,Glu,3,14,Approved,0.75,0.26,0.9,4.36,32,0.8,0.71
,R28785,932-029,17-03-2021 00:00,Glu,1,3,Approved,0.78,0.31,1.2,4.3,193,0.5,0.73
,R28779,932-029,17-03-2021 00:00,Glu,2,8,Approved,0.65,0.33,0.6,4.36,203,0.9,0.51
,R28824,932-029,17-03-2021 00:00,Glu,8,7,Approved,1.8,0.3,0.9,2.05,202,3.3,0.8
,R28758,932-029,17-03-2021 00:00,Glu,1,5,Approved,0.68,0.31,1.6,4.44,278,0.2,0.85
,R28784,932-029,17-03-2021 00:00,Glu,8,7,Approved,0.68,0.31,1.2,4.14,280,0.2,0.21
,R28824,932-029,17-03-2021 00:00,Glu,2,16,Approved,1.8,0.33,1.1,2.08,282,2.2,0.77
,R28789,932-029,17-03-2021 00:00,Glu,1,12,Approved,1.9,0.3,1.5,3.92,260,0.2,0.84
,R28824,932-029,17-03-2021 00:00,Glu,3,11,Approved,1.78,0.31,0.2,1.43,136,2.8,2.2
,R28811,932-029,17-03-2021 00:00,Glu,1,1,Approved,1.77,0.31,1.4,3.79,261,0.3,0.87
,R28737,932-029,17-03-2021 00:00,Glu,2,6,Approved,0.75,0.32,1.4,4.61,289,0.3,0.66
,R28822,932-029,17-03-2021 00:00,Glu,8,8,Approved,1.78,0.31,1.3,3.63,178,0.1,0.64
,R28785,932-029,17-03-2021 00:00,Glu,8,5,Approved,0.75,0.22,0.5,2.67,37,2.3,0.91
,R28824,932-029,17-03-2021 00:00,Glu,1,2,Approved,1.82,0.3,0.8,2.82,224,2.6,1.46
,R28789,932-029,17-03-2021 00:00,Glu,2,8,Approved,1.83,0.31,1.3,4.02,198,0.8,0.94
,R28821,932-029,17-03-2021 00:00,Glu,1,2,Approved,1.73,0.24,1.3,3.82,337,0.4,0.25
,R28822,932-029,17-03-2021 00:00,Glu,3,6,Approved,1.88,0.25,0.2,0.91,171,1.3,2.11
,R28821,932-029,17-03-2021 00:00,Glu,3,11,Approved,1.88,0.34,2,3.79,331,0.7,0.82
,R28785,932-029,17-03-2021 00:00,Glu,2,7,Approved,0.72,0.28,2.2,4.35,317,0.7,0.6
,R28802,932-029,17-03-2021 00:00,Glu,8,1,Approved,1.83,0.26,0.2,1.67,90,1.8,2.51
,R28806,932-029,16-03-2021 07:05,Glu,1,16,Approved,1.9,0.23,0,3.35,100,0.2,0.15
,R28806,932-029,16-03-2021 07:05,Glu,2,15,Approved,1.87,0.19,0.1,2.75,239,2,0.22
,R28806,932-029,16-03-2021 07:05,Glu,8,8,Approved,1.85,0.14,0.2,2.1,19,3.1,2
,R28806,932-029,16-03-2021 07:05,Glu,3,14,Approved,1.85,0.21,0.8,1.97,61,3.2,2.09
,R28830,932-029,16-03-2021 07:05,Glu,2,7,Approved,1.95,0.33,0.2,3.93,231,0,0.31
,R28830,932-029,16-03-2021 07:05,Glu,2,8,Approved,1.88,0.29,0.1,3.68,97,0.6,0.34
,R28830,932-029,16-03-2021 07:05,Glu,8,16,Approved,1.88,0.28,0.4,2.95,116,0.9,0.97
,R28830,932-029,16-03-2021 07:05,Glu,3,9,Approved,1.88,0.3,0.4,3.94,158,0.1,0.27
,R28745,932-029,16-03-2021 07:04,Glu,2,11,Approved,1.73,0.27,0.3,4.2,278,0.5,0.56
,R28745,932-029,16-03-2021 07:04,Glu,8,13,Approved,1.83,0.25,0.4,2.54,176,0.8,0.05
,R28745,932-029,16-03-2021 07:04,Glu,3,4,Approved,1.92,0.28,0.4,2.78,229,0.9,0.37
,R28745,932-029,16-03-2021 07:04,Glu,1,15,Approved,1.77,0.25,0.4,2.88,126,0.3,0.33
,R28790,932-029,16-03-2021 07:04,Glu,2,16,Approved,1.87,0.24,0.4,3.63,182,0.2,0.46
,R28790,932-029,16-03-2021 07:04,Glu,3,9,Approved,2,0.28,0.1,3.96,242,0.3,0.36
,R28790,932-029,16-03-2021 07:04,Glu,1,8,Approved,1.93,0.23,0.4,4.28,56,0.7,0.39
,R28790,932-029,16-03-2021 07:04,Glu,8,11,Approved,1.87,0.23,0.3,3.28,178,1.3,0.16
,R28742,932-029,16-03-2021 07:04,Glu,1,7,Approved,1.08,0.26,0.1,3.9,191,0.1,0.14
,R28742,932-029,16-03-2021 07:04,Glu,2,5,Approved,1.9,0.22,0.1,4.3,134,0.4,0.62
,R28742,932-029,16-03-2021 07:04,Glu,8,9,Approved,1.87,0.34,0.8,3.62,338,0.4,0.63
,R28742,932-029,16-03-2021 07:04,Glu,3,14,Approved,1.87,0.23,0.3,2.19,197,2.9,0.79
,R28780,932-029,16-03-2021 07:02,Glu,3,16,Approved,1.87,0.27,0.2,3.99,213,0.2,0.73
,R28780,932-029,16-03-2021 07:02,Glu,8,16,Approved,1.87,0.25,0,2.6,238,2.1,0.9
,R28780,932-029,16-03-2021 07:02,Glu,2,8,Approved,1.87,0.29,0.5,3.85,214,0.5,0.67
,R28780,932-029,16-03-2021 07:02,Glu,1,7,Approved,1.87,0.28,0.6,3.53,286,0.2,0.27
,R28783,932-029,16-03-2021 07:02,Glu,8,8,Approved,1.82,0.26,1.2,4.34,277,0.6,0.59
,R28783,932-029,16-03-2021 07:02,Glu,1,8,Approved,1.87,0.23,1.1,2.41,282,4.1,0.53
,R28783,932-029,16-03-2021 07:02,Glu,2,16,Approved,1.95,0.27,0.4,3.94,212,0.4,0.71
,R28783,932-029,16-03-2021 07:02,Glu,3,15,Approved,1.93,0.28,1.6,4.14,314,2.1,0.13
,R28732,932-029,16-03-2021 06:58,Glu,8,15,Approved,1.83,0.26,0.5,4.49,336,0.7,0.54
,R28732,932-029,16-03-2021 06:58,Glu,1,8,Approved,1.82,0.27,1.4,4.69,304,0.2,0.56
,R28732,932-029,16-03-2021 06:58,Glu,2,11,Approved,1.87,0.25,0.2,3.79,117,0.6,0.71
,R28732,932-029,16-03-2021 06:58,Glu,3,13,Approved,1.83,0.18,0.8,2.5,309,2.7,0.53
,R28732,932-029,16-03-2021 00:00,Glu,2,11,Approved,1.87,0.25,0.2,3.79,117,0.6,0.71
,R28790,932-029,16-03-2021 00:00,Glu,2,16,Approved,1.87,0.24,0.4,3.63,182,0.2,0.46
,R28745,932-029,16-03-2021 00:00,Glu,3,4,Approved,1.92,0.28,0.4,2.78,229,0.9,0.37
,R28830,932-029,16-03-2021 00:00,Glu,2,7,Approved,1.95,0.33,0.2,3.93,231,0,0.31
,R28745,932-029,16-03-2021 00:00,Glu,8,13,Approved,1.83,0.25,0.4,2.54,176,0.8,0.05
,R28732,932-029,16-03-2021 00:00,Glu,3,13,Approved,1.83,0.18,0.8,2.5,309,2.7,0.53
,R28830,932-029,16-03-2021 00:00,Glu,2,8,Approved,1.88,0.29,0.1,3.68,97,0.6,0.34
,R28830,932-029,16-03-2021 00:00,Glu,8,16,Approved,1.88,0.28,0.4,2.95,116,0.9,0.97
,R28783,932-029,16-03-2021 00:00,Glu,2,16,Approved,1.95,0.27,0.4,3.94,212,0.4,0.71
,R28790,932-029,16-03-2021 00:00,Glu,8,11,Approved,1.87,0.23,0.3,3.28,178,1.3,0.16
,R28806,932-029,16-03-2021 00:00,Glu,2,15,Approved,1.87,0.19,0.1,2.75,239,2,0.22
,R28806,932-029,16-03-2021 00:00,Glu,1,16,Approved,1.9,0.23,0,3.35,100,0.2,0.15
,R28732,932-029,16-03-2021 00:00,Glu,1,8,Approved,1.82,0.27,1.4,4.69,304,0.2,0.56
,R28742,932-029,16-03-2021 00:00,Glu,3,14,Approved,1.87,0.23,0.3,2.19,197,2.9,0.79
,R28806,932-029,16-03-2021 00:00,Glu,8,8,Approved,1.85,0.14,0.2,2.1,19,3.1,2
,R28780,932-029,16-03-2021 00:00,Glu,2,8,Approved,1.87,0.29,0.5,3.85,214,0.5,0.67
,R28742,932-029,16-03-2021 00:00,Glu,1,7,Approved,1.08,0.26,0.1,3.9,191,0.1,0.14
,R28830,932-029,16-03-2021 00:00,Glu,3,9,Approved,1.88,0.3,0.4,3.94,158,0.1,0.27
,R28783,932-029,16-03-2021 00:00,Glu,8,8,Approved,1.82,0.26,1.2,4.34,277,0.6,0.59
,R28742,932-029,16-03-2021 00:00,Glu,8,9,Approved,1.87,0.34,0.8,3.62,338,0.4,0.63
,R28732,932-029,16-03-2021 00:00,Glu,8,15,Approved,1.83,0.26,0.5,4.49,336,0.7,0.54
,R28790,932-029,16-03-2021 00:00,Glu,3,9,Approved,2,0.28,0.1,3.96,242,0.3,0.36
,R28783,932-029,16-03-2021 00:00,Glu,1,8,Approved,1.87,0.23,1.1,2.41,282,4.1,0.53
,R28790,932-029,16-03-2021 00:00,Glu,1,8,Approved,1.93,0.23,0.4,4.28,56,0.7,0.39
,R28806,932-029,16-03-2021 00:00,Glu,3,14,Approved,1.85,0.21,0.8,1.97,61,3.2,2.09
,R28780,932-029,16-03-2021 00:00,Glu,1,7,Approved,1.87,0.28,0.6,3.53,286,0.2,0.27
,R28742,932-029,16-03-2021 00:00,Glu,2,5,Approved,1.9,0.22,0.1,4.3,134,0.4,0.62
,R28780,932-029,16-03-2021 00:00,Glu,8,16,Approved,1.87,0.25,0,2.6,238,2.1,0.9
,R28745,932-029,16-03-2021 00:00,Glu,1,15,Approved,1.77,0.25,0.4,2.88,126,0.3,0.33
,R28783,932-029,16-03-2021 00:00,Glu,3,15,Approved,1.93,0.28,1.6,4.14,314,2.1,0.13
,R28745,932-029,16-03-2021 00:00,Glu,2,11,Approved,1.73,0.27,0.3,4.2,278,0.5,0.56
,R28780,932-029,16-03-2021 00:00,Glu,3,16,Approved,1.87,0.27,0.2,3.99,213,0.2,0.73
,R28733,932-029,15-03-2021 07:16,Glu,1,5,Approved,5.03,0.22,1.1,2.24,187,1.1,0.6
,R28733,932-029,15-03-2021 07:16,Glu,8,14,Approved,5,0.19,1.4,2.8,202,2.4,0.63
,R28733,932-029,15-03-2021 07:16,Glu,3,8,Approved,5,0.18,1.8,3.15,245,2.6,1.82
,R28814,932-029,15-03-2021 07:16,Glu,8,5,Approved,5.02,0.25,1.2,3.62,257,0.4,0.55
,R28814,932-029,15-03-2021 07:16,Glu,6,10,Approved,5.03,0.23,1,2.85,244,0.9,0.56
,R28814,932-029,15-03-2021 07:16,Glu,1,1,Approved,5.1,0.24,1.2,1.75,358,3,1.35
,R28814,932-029,15-03-2021 07:16,Glu,3,16,Approved,5.03,0.2,1.1,4.08,122,0,0.27
,R28853,932-029,15-03-2021 07:16,Glu,7,8,Approved,5.02,0.15,1.8,2.69,109,2.4,1.35
,R28853,932-029,15-03-2021 07:16,Glu,1,4,Approved,5.13,0.16,2.2,4.68,294,2.6,0.24
,R28853,932-029,15-03-2021 07:16,Glu,3,2,Approved,5.12,0.28,0.7,2.04,72,1,1.81
,R28773,932-029,15-03-2021 07:14,Glu,1,8,Approved,5.12,0.24,3.5,4.85,227,0.3,0.33
,R28751,932-029,15-03-2021 07:14,Glu,7,5,Approved,5.12,0.22,1.7,4.93,227,1,0.42
,R28751,932-029,15-03-2021 07:14,Glu,1,3,Approved,5.12,0.23,1.4,5.12,30,1.2,0.52
,R28773,932-029,15-03-2021 07:14,Glu,6,4,Approved,5.02,0.31,2.7,4.02,354,2.2,0.12
,R28773,932-029,15-03-2021 07:14,Glu,4,16,Approved,5,0.26,1.4,4.25,185,0.3,0.01
,R28773,932-029,15-03-2021 07:14,Glu,8,14,Approved,5.02,0.23,2.8,4.95,389,1.5,0.4
,R28751,932-029,15-03-2021 07:14,Glu,4,12,Approved,5.05,0.22,1,4.04,111,0.3,0.28
,R28781,932-029,15-03-2021 07:13,Glu,3,8,Approved,5.07,0.26,3,4.18,161,0.1,0.75
,R28781,932-029,15-03-2021 07:13,Glu,8,12,Approved,4.97,0.18,1.8,3.48,290,1.2,0.02
,R28781,932-029,15-03-2021 07:13,Glu,1,4,Approved,5,0.29,3.3,2.9,319,1.5,0.59
,R28781,932-029,15-03-2021 07:13,Glu,2,6,Approved,5.1,0.25,1.6,3.95,224,0,0.13
,R28793,932-029,15-03-2021 07:12,Glu,2,11,Approved,4.98,0.13,0.6,2.24,160,2,2.67
,R28793,932-029,15-03-2021 07:12,Glu,8,15,Approved,4.98,0.25,1.3,4.21,21,1.7,0.37
,R28793,932-029,15-03-2021 07:12,Glu,1,3,Approved,5.02,0.21,1.3,3.46,159,0.8,0.14
,R28793,932-029,15-03-2021 07:12,Glu,3,16,Approved,4.97,0.18,1,1.73,17,4,2.91
,R28755,932-029,15-03-2021 07:11,Glu,8,2,Approved,5.02,0.26,1.3,4.84,179,0.1,0.17
,R28755,932-029,15-03-2021 07:11,Glu,4,8,Approved,5.02,0.26,2.7,4.67,222,0.9,0.21
,R28755,932-029,15-03-2021 07:11,Glu,6,16,Approved,5.13,0.23,1.6,4.63,270,0.4,0.43
,R28755,932-029,15-03-2021 07:11,Glu,1,10,Approved,5.08,0.24,0.9,3.06,286,1.6,1.21
,R28782,932-029,15-03-2021 07:11,Glu,5,15,Approved,5.02,0.17,1.4,2.77,141,2.5,2.13
,R28782,932-029,15-03-2021 07:11,Glu,8,8,Approved,5,0.14,1.6,2.48,42,3,2.21
,R28782,932-029,15-03-2021 07:11,Glu,3,1,Approved,4.98,0.28,2,4.64,247,1,0.08
,R28782,932-029,15-03-2021 07:11,Glu,1,2,Approved,5.07,0.25,1.8,4.49,194,0.3,0.29
,R28727,932-029,15-03-2021 07:10,Glu,2,13,Approved,4.95,0.31,1.7,4.04,367,0.9,0.03
,R28727,932-029,15-03-2021 07:10,Glu,1,13,Approved,4.92,0.17,0.4,0.65,187,1.2,3.7
,R28756,932-029,15-03-2021 07:10,Glu,1,2,Approved,5.02,0.21,0.8,1.94,50,2,3.69
,R28756,932-029,15-03-2021 07:10,Glu,5,10,Approved,5.08,0.23,2,3.46,349,3.9,1.24
,R28756,932-029,15-03-2021 07:10,Glu,3,8,Approved,5.1,0.2,1.7,2.77,127,2.7,1.32
,R28756,932-029,15-03-2021 07:10,Glu,8,13,Approved,5.08,0.17,0.2,0.88,48,1.8,2.31
,R28744,932-029,15-03-2021 07:10,Glu,1,3,Approved,5.07,0.24,1.4,4.77,156,0.5,0.28
,R28744,932-029,15-03-2021 07:10,Glu,5,16,Approved,5.07,0.25,1.7,4.79,261,0.9,0.04
,R28744,932-029,15-03-2021 07:10,Glu,4,13,Approved,5.07,0.31,2.4,4,328,3.3,0.15
,R28744,932-029,15-03-2021 07:10,Glu,8,9,Approved,5.03,0.29,1.7,4.38,312,0.2,0.57
,R28734,932-029,15-03-2021 07:09,Glu,8,10,Approved,4.98,0.21,1.7,4.48,55,0.1,0.33
,R28734,932-029,15-03-2021 07:09,Glu,2,5,Approved,5.02,0.21,1.8,4.71,37,0.6,0.52
,R28734,932-029,15-03-2021 07:09,Glu,1,15,Approved,4.95,0.27,2,4.62,160,0.5,0.66
,R28734,932-029,15-03-2021 07:09,Glu,3,11,Approved,4.98,0.23,2.7,4.01,247,0.9,1.39
,R28782,932-029,15-03-2021 00:00,Glu,5,15,Approved,5.02,0.17,1.4,2.77,141,2.5,2.13
,R28727,932-029,15-03-2021 00:00,Glu,1,13,Approved,4.92,0.17,0.4,0.65,187,1.2,3.7
,R28756,932-029,15-03-2021 00:00,Glu,5,10,Approved,5.08,0.23,2,3.46,349,3.9,1.24
,R28733,932-029,15-03-2021 00:00,Glu,3,8,Approved,5,0.18,1.8,3.15,245,2.6,1.82
,R28814,932-029,15-03-2021 00:00,Glu,1,1,Approved,5.1,0.24,1.2,1.75,358,3,1.35
,R28773,932-029,15-03-2021 00:00,Glu,6,4,Approved,5.02,0.31,2.7,4.02,354,2.2,0.12
,R28773,932-029,15-03-2021 00:00,Glu,1,8,Approved,5.12,0.24,3.5,4.85,227,0.3,0.33
,R28756,932-029,15-03-2021 00:00,Glu,1,2,Approved,5.02,0.21,0.8,1.94,50,2,3.69
,R28755,932-029,15-03-2021 00:00,Glu,6,16,Approved,5.13,0.23,1.6,4.63,270,0.4,0.43
,R28814,932-029,15-03-2021 00:00,Glu,3,16,Approved,5.03,0.2,1.1,4.08,122,0,0.27
,R28734,932-029,15-03-2021 00:00,Glu,3,11,Approved,4.98,0.23,2.7,4.01,247,0.9,1.39
,R28733,932-029,15-03-2021 00:00,Glu,1,5,Approved,5.03,0.22,1.1,2.24,187,1.1,0.6
,R28751,932-029,15-03-2021 00:00,Glu,7,5,Approved,5.12,0.22,1.7,4.93,227,1,0.42
,R28744,932-029,15-03-2021 00:00,Glu,1,3,Approved,5.07,0.24,1.4,4.77,156,0.5,0.28
,R28814,932-029,15-03-2021 00:00,Glu,8,5,Approved,5.02,0.25,1.2,3.62,257,0.4,0.55
,R28755,932-029,15-03-2021 00:00,Glu,1,10,Approved,5.08,0.24,0.9,3.06,286,1.6,1.21
,R28755,932-029,15-03-2021 00:00,Glu,4,8,Approved,5.02,0.26,2.7,4.67,222,0.9,0.21
,R28734,932-029,15-03-2021 00:00,Glu,2,5,Approved,5.02,0.21,1.8,4.71,37,0.6,0.52
,R28793,932-029,15-03-2021 00:00,Glu,3,16,Approved,4.97,0.18,1,1.73,17,4,2.91
,R28853,932-029,15-03-2021 00:00,Glu,1,4,Approved,5.13,0.16,2.2,4.68,294,2.6,0.24
,R28853,932-029,15-03-2021 00:00,Glu,7,8,Approved,5.02,0.15,1.8,2.69,109,2.4,1.35
,R28733,932-029,15-03-2021 00:00,Glu,8,14,Approved,5,0.19,1.4,2.8,202,2.4,0.63
,R28751,932-029,15-03-2021 00:00,Glu,4,12,Approved,5.05,0.22,1,4.04,111,0.3,0.28
,R28756,932-029,15-03-2021 00:00,Glu,3,8,Approved,5.1,0.2,1.7,2.77,127,2.7,1.32
,R28781,932-029,15-03-2021 00:00,Glu,8,12,Approved,4.97,0.18,1.8,3.48,290,1.2,0.02
,R28781,932-029,15-03-2021 00:00,Glu,1,4,Approved,5,0.29,3.3,2.9,319,1.5,0.59
,R28755,932-029,15-03-2021 00:00,Glu,8,2,Approved,5.02,0.26,1.3,4.84,179,0.1,0.17
,R28727,932-029,15-03-2021 00:00,Glu,2,13,Approved,4.95,0.31,1.7,4.04,367,0.9,0.03
,R28782,932-029,15-03-2021 00:00,Glu,3,1,Approved,4.98,0.28,2,4.64,247,1,0.08
,R28734,932-029,15-03-2021 00:00,Glu,8,10,Approved,4.98,0.21,1.7,4.48,55,0.1,0.33
,R28793,932-029,15-03-2021 00:00,Glu,1,3,Approved,5.02,0.21,1.3,3.46,159,0.8,0.14
,R28793,932-029,15-03-2021 00:00,Glu,8,15,Approved,4.98,0.25,1.3,4.21,21,1.7,0.37
,R28781,932-029,15-03-2021 00:00,Glu,2,6,Approved,5.1,0.25,1.6,3.95,224,0,0.13
,R28853,932-029,15-03-2021 00:00,Glu,3,2,Approved,5.12,0.28,0.7,2.04,72,1,1.81
,R28744,932-029,15-03-2021 00:00,Glu,4,13,Approved,5.07,0.31,2.4,4,328,3.3,0.15
,R28751,932-029,15-03-2021 00:00,Glu,1,3,Approved,5.12,0.23,1.4,5.12,30,1.2,0.52
,R28773,932-029,15-03-2021 00:00,Glu,8,14,Approved,5.02,0.23,2.8,4.95,389,1.5,0.4
,R28756,932-029,15-03-2021 00:00,Glu,8,13,Approved,5.08,0.17,0.2,0.88,48,1.8,2.31
,R28744,932-029,15-03-2021 00:00,Glu,5,16,Approved,5.07,0.25,1.7,4.79,261,0.9,0.04
,R28814,932-029,15-03-2021 00:00,Glu,6,10,Approved,5.03,0.23,1,2.85,244,0.9,0.56
,R28734,932-029,15-03-2021 00:00,Glu,1,15,Approved,4.95,0.27,2,4.62,160,0.5,0.66
,R28782,932-029,15-03-2021 00:00,Glu,1,2,Approved,5.07,0.25,1.8,4.49,194,0.3,0.29
,R28773,932-029,15-03-2021 00:00,Glu,4,16,Approved,5,0.26,1.4,4.25,185,0.3,0.01
,R28744,932-029,15-03-2021 00:00,Glu,8,9,Approved,5.03,0.29,1.7,4.38,312,0.2,0.57
,R28781,932-029,15-03-2021 00:00,Glu,3,8,Approved,5.07,0.26,3,4.18,161,0.1,0.75
