time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
82,2.981,6.827,0.2,1.4,3.62,248,1.5,1.2
1303,2.774,6.183,0.23,1.0,4.3,136,0.3,0.87
1431,2.442,6.56,0.26,2.7,4.29,154,1.8,0.23
4521,2.417,5.985,0.36,0.7,3.8,94,0.3,0.2
2570,2.409,6.734,0.44,2.3,4.7,133,3.1,0.06
1915,2.712,6.214,0.28,0.7,5.12,136,0.3,0.13
7252,2.602,6.81,0.37,1.2,3.51,252,1.7,0.18
2643,2.301,5.813,0.23,0.1,3.97,81,0.7,0.64
3113,2.525,5.629,0.27,0.6,4.07,97,0.8,0.24
4199,2.633,6.041,0.3,1.0,4.38,231,0.3,0.43
1363,2.868,5.804,0.21,0.2,4.17,36,0.0,0.01
1686,2.434,6.341,0.25,0.6,5.29,269,0.4,0.05
358,2.578,6.633,0.23,2.2,4.09,185,0.2,0.41
1398,2.385,6.476,0.27,0.8,4.05,87,2.7,0.47
1128,2.654,6.909,0.29,0.3,4.27,273,1.8,0.19
1083,2.484,6.578,0.28,1.8,4.09,284,1.2,0.31
1380,2.443,6.098,0.38,0.6,4.51,178,0.0,0.4
181,2.788,5.87,0.27,1.5,4.1,86,0.6,0.67
1458,2.652,6.768,0.28,0.2,2.34,123,3.9,0.45
1485,2.604,5.707,0.27,0.1,2.44,129,0.8,2.13
856,2.673,6.476,0.32,0.3,3.5,67,0.2,0.25
585,2.477,6.202,0.31,1.1,4.08,21,0.1,0.5
1669,2.622,6.52,0.33,0.3,4.68,304,0.3,0.59
1257,2.485,5.68,0.31,0.6,4.78,90,0.7,0.27
8422,2.406,6.503,0.26,0.7,4.27,212,0.1,0.41
1269,2.47,6.275,0.4,0.7,4.8,206,1.4,0.32
3227,2.625,6.966,0.26,1.1,4.25,297,0.6,0.58
413,2.401,6.535,0.37,1.1,3.61,30,1.0,0.6
70,2.581,6.542,0.22,0.1,4.16,173,1.3,0.34
2738,2.896,6.342,0.35,0.7,4.82,148,0.8,0.26
4933,2.702,6.74,0.24,2.0,4.05,153,1.7,0.31
5772,2.671,5.661,0.26,0.3,4.24,16,1.1,0.13
488,2.711,6.964,0.27,0.1,3.89,18,0.9,0.46
1780,2.871,5.836,0.32,1.0,4.73,90,0.9,0.67
1227,2.554,5.8,0.3,1.6,5.63,37,0.1,0.41
1627,3.021,6.158,0.34,0.8,3.81,115,0.6,0.48
1400,2.732,5.632,0.19,0.4,3.76,338,0.1,1.96
31,2.505,6.413,0.43,0.1,4.74,29,1.0,0.02
1605,2.551,6.03,0.25,0.7,2.17,199,1.0,2.34
1190,2.318,6.489,0.44,0.7,3.53,178,0.6,0.13
2615,2.508,5.839,0.33,1.7,4.75,201,0.4,0.73
2589,2.543,6.522,0.28,0.8,4.92,161,1.4,0.2
4912,2.653,6.555,0.14,0.2,4.64,288,1.4,0.26
6486,2.706,6.798,0.46,1.1,2.78,241,2.4,0.93
2355,2.613,5.672,0.36,1.0,3.36,83,1.6,1.09
1993,2.639,6.209,0.34,2.7,4.96,63,0.8,0.03
35,2.649,6.506,0.27,1.0,4.68,139,0.4,0.1
2532,2.277,6.304,0.29,1.4,3.64,191,0.4,0.33
148,2.508,6.222,0.23,0.2,1.83,1,0.3,0.48
129,2.55,5.679,0.23,0.6,4.02,27,1.3,0.97
2194,2.63,6.579,0.32,0.4,3.99,36,2.1,0.15
626,2.735,5.889,0.3,0.0,3.69,54,0.2,0.96
524,2.581,6.485,0.42,1.2,3.27,312,1.2,0.51
3076,2.345,6.906,0.34,1.1,4.91,215,0.6,0.44
81,2.481,5.652,0.18,0.5,3.65,81,0.5,0.5
915,2.695,6.847,0.3,1.6,2.5,257,4.3,0.55
1494,2.608,6.752,0.27,1.7,4.2,261,1.0,0.81
2918,2.978,6.753,0.29,0.3,4.51,110,1.6,0.08
1629,2.38,6.134,0.27,0.8,5.11,49,0.4,0.12
3146,2.656,5.696,0.41,0.5,4.26,46,0.9,0.23
1550,2.662,6.041,0.31,1.6,4.64,297,0.4,0.09
1202,2.992,6.186,0.19,0.4,3.95,206,0.6,0.6
503,3.046,6.779,0.25,0.1,4.14,219,1.6,0.66
4059,2.357,6.839,0.42,1.0,2.88,249,3.3,0.58
1255,2.323,5.857,0.28,1.0,4.41,228,1.4,0.1
2682,2.493,6.943,0.37,1.9,4.28,327,0.1,0.24
1781,2.554,6.023,0.21,0.6,3.6,74,0.5,0.66
3421,2.466,6.249,0.29,0.9,3.88,229,1.2,0.51
1513,2.504,6.059,0.22,1.7,4.14,202,0.6,0.46
1539,2.751,5.986,0.24,0.3,4.32,204,0.6,0.11
1014,2.46,5.844,0.27,3.0,5.68,244,1.6,0.17
208,2.27,5.595,0.22,0.9,3.91,96,1.4,0.76
590,2.54,5.6,0.28,0.2,3.96,48,0.0,0.04
980,2.294,6.336,0.45,0.2,3.81,145,0.9,0.21
253,2.877,6.148,0.21,0.1,2.09,131,1.5,0.77
6675,2.599,5.799,0.25,0.2,5.05,243,0.0,0.3
2942,2.627,6.344,0.38,0.8,3.98,113,1.0,0.34
4048,2.466,6.98,0.27,0.8,4.75,81,0.7,0.29
6938,2.599,5.945,0.31,0.1,3.16,39,0.6,0.57
1823,2.646,6.084,0.46,0.5,3.42,124,1.7,0.95
2640,2.451,6.167,0.29,0.7,4.14,162,0.5,0.55
41,2.313,6.428,0.3,2.8,4.77,249,1.8,0.56
1741,2.465,6.002,0.21,0.3,5.52,1,0.6,0.26
1673,2.704,6.916,0.29,1.7,3.65,290,3.6,0.99
2375,2.681,6.759,0.28,0.1,4.28,226,0.9,0.5
2993,2.59,6.89,0.28,2.0,4.71,349,1.7,0.12
1509,2.703,6.5,0.35,0.2,4.85,114,0.8,0.29
991,2.69,6.421,0.21,0.8,3.89,175,1.4,0.39
1109,2.651,6.295,0.29,1.6,4.8,240,0.4,0.26
1573,2.5,6.629,0.23,1.3,5.11,158,3.0,0.59
4072,2.597,5.963,0.17,0.0,3.5,163,0.9,0.73
8176,2.887,6.491,0.25,0.0,5.19,154,0.6,0.77
3103,2.5,6.068,0.32,1.6,3.75,151,0.0,0.3
1716,2.487,7.159,0.34,3.2,4.96,269,0.6,0.24
1623,2.507,6.202,0.23,0.6,4.27,301,0.4,0.7
7079,2.294,5.562,0.3,0.5,4.85,138,0.1,0.12
1017,2.311,6.974,0.36,1.5,4.28,279,2.1,0.19
1644,2.7,6.484,0.22,0.3,2.18,286,3.6,1.09
1826,2.499,6.321,0.33,1.0,4.23,192,0.7,0.51
1944,2.749,6.167,0.31,0.2,4.88,135,0.9,0.55
1336,2.636,6.47,0.38,0.0,5.04,229,0.1,0.31
964,2.64,5.717,0.17,0.4,2.75,146,3.5,1.78
110,2.65,6.5,0.28,2.2,3.37,300,0.9,0.06
1575,2.568,5.989,0.33,1.2,4.32,78,1.1,0.03
1356,2.574,6.072,0.33,1.4,4.8,104,0.6,0.23
1163,2.64,6.581,0.32,0.6,3.63,202,3.9,1.12
1686,2.537,6.211,0.18,0.4,3.47,212,1.3,0.73
6064,2.537,6.422,0.33,0.4,3.49,124,1.4,0.73
74,2.528,6.276,0.19,1.6,4.91,240,0.1,0.12
5984,2.367,5.98,0.29,1.0,4.68,89,1.3,0.37
4671,2.749,7.156,0.29,0.6,4.36,132,1.4,1.22
72,2.516,7.063,0.26,1.2,4.4,326,0.5,0.2
1081,2.653,5.904,0.4,0.1,4.82,18,1.5,1.47
1381,2.671,6.193,0.29,1.0,4.59,281,0.5,0.58
1366,2.759,6.705,0.37,0.7,5.5,302,0.2,0.3
1243,2.88,6.715,0.32,0.3,5.11,40,0.8,0.41
7375,2.669,6.197,0.32,0.3,3.42,190,3.2,0.93
1196,2.252,6.411,0.21,1.2,4.98,199,0.2,0.03
2773,2.7,5.99,0.27,0.6,4.46,66,0.7,0.54
1617,2.902,6.406,0.46,0.0,4.12,200,0.6,1.1
292,2.613,7.273,0.29,1.7,3.35,173,3.8,0.65
3494,2.6,5.661,0.27,0.2,5.38,120,0.0,0.02
1550,2.322,6.86,0.42,1.2,4.22,319,0.4,0.61
1154,2.539,6.703,0.3,0.9,4.91,76,0.5,0.12
952,2.184,5.735,0.26,0.8,4.45,57,1.4,0.4
1290,3.133,6.359,0.36,1.0,4.74,128,0.3,0.15
1645,2.621,6.277,0.19,0.6,1.92,74,3.2,1.75
1781,2.118,6.159,0.33,0.3,4.65,10,0.4,0.05
1832,2.499,6.648,0.3,0.2,0.84,116,3.1,2.11
2381,2.478,6.261,0.24,0.8,4.76,164,0.6,0.47
1720,2.769,6.123,0.28,0.1,3.57,22,1.5,1.97
1077,2.435,6.502,0.24,0.0,3.78,18,1.3,0.22
2487,2.397,6.119,0.32,1.8,5.5,20,0.8,0.03
4361,2.708,6.932,0.29,1.9,3.83,202,2.6,0.44
4430,2.567,6.74,0.43,1.4,4.02,104,2.0,0.36
6130,2.422,6.024,0.31,0.5,3.96,118,0.2,0.78
1427,2.673,6.554,0.3,0.3,4.84,173,0.7,0.44
6017,2.563,6.771,0.17,1.8,7.12,183,1.2,0.0
3084,2.326,5.793,0.22,0.6,4.4,74,0.4,0.81
1193,2.413,6.266,0.27,0.3,3.38,15,1.7,1.45
1167,2.522,6.306,0.23,0.9,5.21,57,0.2,0.65
1115,2.518,5.794,0.3,0.2,3.19,2,3.3,1.17
8637,2.49,5.87,0.26,1.3,5.06,157,0.4,0.19
4278,2.648,5.579,0.2,0.6,4.63,86,0.4,0.08
4259,2.438,6.379,0.34,2.5,4.64,218,1.1,0.32
2595,2.491,6.144,0.21,0.0,3.74,176,0.2,0.69
1496,3.107,7.017,0.29,1.8,3.59,195,1.2,0.47
3947,2.417,6.455,0.41,1.6,4.14,365,1.5,0.45
1669,2.76,6.563,0.29,1.6,4.19,200,0.2,0.54
2765,2.402,6.254,0.26,0.9,5.25,238,1.4,0.85
2359,2.53,6.664,0.29,0.9,4.9,145,0.1,0.41
1805,2.0,6.436,0.34,1.7,4.05,249,1.6,0.49
1512,2.688,6.114,0.28,0.4,4.78,69,1.3,0.05
870,2.584,5.831,0.31,0.8,3.92,177,0.2,0.48
1338,2.591,6.299,0.27,1.0,4.62,172,0.5,0.44
1008,2.675,7.121,0.27,2.3,4.15,302,2.8,0.03
3464,2.719,6.926,0.34,0.1,5.16,402,2.1,0.78
1665,2.626,6.662,0.32,0.1,3.05,253,2.8,0.95
5546,2.37,6.307,0.34,1.4,5.4,217,0.6,0.69
1443,2.638,6.027,0.32,0.8,4.55,110,0.8,0.09
3190,2.706,6.587,0.29,1.0,4.82,268,0.1,0.31
1022,2.861,6.573,0.21,1.3,4.44,37,0.5,2.0
683,2.555,6.038,0.28,1.9,5.02,348,0.6,0.42
2092,2.518,5.763,0.46,0.5,1.32,25,0.5,0.64
1784,2.767,6.877,0.33,1.9,4.67,331,2.8,0.33
34,2.517,6.785,0.42,0.5,4.74,345,2.0,0.12
3865,2.781,5.957,0.28,0.1,4.36,244,0.4,0.35
1174,2.655,6.353,0.37,0.8,4.63,214,0.4,0.22
2726,2.768,6.05,0.4,0.5,4.35,44,0.5,0.62
5857,2.81,6.237,0.26,0.2,3.63,68,1.4,0.13
4217,2.589,7.114,0.36,0.9,3.58,204,4.2,0.16
3731,2.562,5.824,0.21,0.1,4.98,73,0.4,0.21
1459,2.56,5.516,0.21,0.4,3.38,158,1.3,0.02
1267,2.58,6.296,0.29,0.1,4.33,8,1.8,0.16
1919,2.747,6.338,0.27,1.1,4.67,18,1.2,0.37
370,2.618,6.041,0.29,0.5,4.78,66,0.3,0.25
4671,2.37,6.005,0.32,0.6,3.34,122,1.4,0.49
78,2.515,6.078,0.24,0.2,3.37,122,0.4,0.74
996,2.518,5.85,0.25,0.3,4.35,44,0.5,0.6
1277,2.438,6.275,0.3,0.1,4.55,16,0.7,0.21
4471,2.364,6.539,0.28,0.8,3.54,34,1.2,1.68
2519,2.847,6.256,0.28,1.3,4.28,257,0.4,0.39
4891,2.738,5.855,0.23,1.6,4.69,59,0.8,0.68
1324,2.263,5.723,0.28,1.3,4.57,83,1.2,0.26
1545,2.468,6.027,0.2,1.1,3.99,68,0.3,0.33
1915,2.402,6.08,0.3,0.7,4.95,153,0.6,0.25
953,2.65,6.128,0.3,1.7,3.57,48,0.7,0.5
968,2.773,6.441,0.27,2.0,4.76,182,0.5,0.16
250,2.591,6.178,0.43,1.9,4.71,335,1.4,0.43
2681,2.497,6.115,0.38,0.2,4.05,20,1.9,0.71
1124,2.785,5.85,0.38,1.6,3.37,157,0.3,0.62
3978,2.674,5.551,0.25,0.6,4.17,18,2.0,0.49
1337,2.581,6.164,0.4,0.0,4.48,93,1.7,0.32
2590,2.689,6.974,0.14,1.0,5.05,358,3.1,0.01
303,2.661,6.127,0.15,1.0,2.0,78,4.0,1.43
218,2.441,5.992,0.22,1.7,3.81,264,1.5,0.91
1738,2.851,6.438,0.33,0.2,3.77,138,1.9,0.31
954,2.578,6.951,0.38,0.1,4.66,274,0.6,0.68
2789,2.538,6.709,0.44,1.6,3.95,330,1.1,0.34
5522,2.901,5.162,0.15,1.1,3.6,245,0.6,1.06
1927,2.77,6.141,0.23,0.4,3.88,161,0.6,0.51
3560,2.553,6.502,0.4,1.4,4.04,314,2.5,0.33
1320,2.757,6.046,0.25,0.2,3.42,109,0.8,0.7
1095,2.656,5.813,0.32,0.2,5.36,1,0.2,0.55
5959,2.589,5.809,0.3,0.7,4.95,141,0.1,0.55
6883,2.505,5.508,0.22,0.2,5.31,70,0.5,0.09
462,2.587,6.406,0.28,0.8,4.3,83,0.6,0.08
1259,2.585,5.786,0.34,1.7,5.04,159,0.0,0.05
1662,2.763,6.406,0.19,0.2,3.33,59,3.2,0.31
1839,2.707,6.067,0.34,2.8,4.99,111,0.2,0.42
1618,2.499,6.075,0.31,0.9,4.11,1,1.0,0.3
917,2.18,5.762,0.24,0.5,3.88,85,0.6,0.27
5369,2.937,6.205,0.3,0.7,4.39,77,0.8,0.99
457,2.479,6.591,0.29,0.1,3.84,238,0.9,0.57
1608,2.385,5.869,0.37,0.0,4.91,145,0.4,0.34
1638,2.412,5.759,0.27,2.3,6.17,82,1.4,0.17
7102,2.711,6.715,0.36,0.2,3.71,216,0.7,0.49
1430,2.68,6.245,0.33,1.2,4.0,272,1.3,0.44
1813,2.704,6.644,0.36,0.0,3.65,188,1.8,0.06
4813,2.59,6.27,0.37,2.3,4.49,253,1.9,0.71
900,2.753,6.058,0.38,0.1,4.96,8,0.5,0.07
1728,2.615,6.177,0.31,1.6,2.88,84,0.4,0.93
5473,2.63,5.875,0.24,1.3,4.19,207,0.7,0.79
312,2.462,5.769,0.15,0.3,6.19,16,0.1,0.01
3889,2.68,5.65,0.16,0.1,4.35,194,1.5,0.37
1696,2.32,6.184,0.29,1.4,3.57,286,1.8,0.27
1466,2.63,6.558,0.26,0.3,2.87,26,2.6,2.04
291,2.564,6.171,0.31,1.8,3.87,115,0.6,0.62
349,2.784,6.657,0.28,1.5,4.47,331,1.1,0.24
1448,2.882,6.933,0.24,0.1,2.98,17,2.7,0.22
1507,2.57,5.521,0.24,0.1,3.47,43,1.0,0.73
1122,2.616,7.255,0.22,0.9,5.42,318,2.5,0.21
1461,2.517,5.968,0.21,0.4,4.66,13,0.4,0.19
2806,2.493,6.044,0.28,0.8,4.36,4,0.6,0.41
1394,2.675,5.827,0.27,0.7,1.82,220,0.5,2.34
7133,2.63,5.116,0.15,0.2,4.31,27,0.5,0.34
4180,2.747,6.211,0.34,0.8,4.19,128,0.5,0.27
1334,2.493,7.176,0.33,1.1,3.88,313,1.7,0.35
1733,2.659,6.372,0.31,0.4,4.65,192,0.5,0.55
1663,2.54,6.151,0.34,1.6,4.5,9,1.8,0.14
1357,2.465,6.12,0.37,0.5,4.69,30,2.0,2.22
1165,2.466,5.811,0.3,0.2,3.01,47,1.0,0.88
1474,2.735,6.317,0.21,1.1,4.98,141,1.8,0.84
11337,2.643,6.477,0.24,1.0,5.13,217,0.2,0.24
1666,2.455,6.248,0.3,1.1,4.12,79,2.0,0.33
1269,2.672,5.979,0.28,0.6,4.77,15,0.3,0.14
1463,2.592,5.558,0.19,0.7,4.73,71,0.4,0.34
1393,2.668,6.969,0.15,0.5,4.8,370,1.6,0.11
21,2.699,6.768,0.4,1.8,4.78,257,1.3,0.2
2262,2.522,6.103,0.23,0.1,5.05,80,0.3,0.32
6126,2.648,6.096,0.32,1.7,4.77,121,0.4,0.25
1629,2.57,6.045,0.19,0.1,2.81,90,2.1,0.87
1309,2.387,6.303,0.28,0.1,2.7,192,0.4,0.66
988,2.596,5.827,0.22,0.2,3.99,231,0.5,0.23
4158,2.9,5.695,0.24,0.0,4.05,183,0.3,0.84
40,2.711,6.524,0.17,0.0,1.97,102,2.0,1.39
1640,2.521,5.967,0.26,0.5,4.7,90,0.2,0.41
1533,2.62,5.769,0.2,0.2,4.12,124,0.9,0.34
1336,2.816,6.064,0.27,1.4,4.52,129,0.3,0.05
5714,2.699,6.595,0.27,0.2,4.12,240,1.2,0.66
1391,2.79,5.156,0.24,0.0,4.4,206,0.1,0.7
4313,2.68,5.889,0.23,0.4,4.11,254,1.4,1.14
1500,2.361,5.431,0.28,0.8,4.44,84,0.6,0.4
2581,2.574,6.266,0.27,0.6,4.25,104,0.6,0.18
4101,2.551,5.62,0.33,0.1,5.84,256,0.2,0.72
1347,2.828,6.904,0.23,0.5,4.22,141,2.0,0.4
1780,2.641,5.911,0.27,0.0,4.18,116,0.8,0.62
1363,2.471,7.188,0.35,1.2,4.68,387,1.8,0.58
6935,2.687,6.457,0.16,0.4,3.15,331,3.8,0.5
1521,2.55,5.698,0.18,1.7,1.63,113,2.2,0.66
4440,2.645,7.098,0.22,1.8,5.14,370,0.7,0.52
1149,2.411,6.581,0.28,1.0,4.73,245,0.1,0.51
5302,2.59,6.141,0.26,1.4,2.94,130,1.7,0.11
4113,2.568,6.658,0.35,0.8,1.47,148,3.4,1.46
1281,2.689,5.978,0.13,0.1,3.83,282,1.4,0.02
1414,2.852,6.273,0.39,1.8,4.17,274,0.2,0.38
1752,2.658,6.121,0.17,1.0,4.2,273,0.6,0.36
1625,2.293,6.069,0.15,0.7,2.66,56,2.1,0.26
4322,2.683,5.92,0.38,0.0,5.41,2,0.4,0.08
2279,2.58,6.022,0.19,0.8,4.06,314,0.9,0.19
1357,2.547,6.372,0.31,1.8,3.68,12,2.8,1.1
29,2.56,6.719,0.31,1.3,2.98,383,4.5,0.34
3265,2.705,6.206,0.25,0.3,4.97,109,0.4,0.34
2461,2.66,5.392,0.12,0.4,4.16,146,1.0,0.7
1328,2.591,6.808,0.32,1.8,4.48,318,1.9,0.43
1548,2.52,6.15,0.23,1.1,4.49,148,0.2,1.35
1355,2.68,6.237,0.24,1.0,5.07,223,0.1,0.36
3061,2.69,5.845,0.3,0.1,3.12,178,1.2,0.2
7854,2.507,6.341,0.29,1.4,4.18,268,1.8,0.36
2899,2.506,5.135,0.33,0.6,4.07,174,1.8,0.58
560,2.584,6.331,0.38,1.3,4.48,94,0.8,0.08
2010,2.89,6.196,0.41,1.6,4.0,316,2.0,0.12
988,2.507,6.497,0.33,2.6,4.04,151,1.2,0.11
1886,2.755,6.413,0.28,0.0,2.58,24,3.1,1.16
12792,2.476,6.692,0.38,0.7,2.64,209,1.2,0.96
1680,2.698,5.893,0.25,2.8,4.44,153,0.3,0.17
1336,2.81,5.763,0.36,0.2,4.81,258,0.4,0.15
10639,2.325,5.996,0.21,0.1,4.3,157,0.4,0.08
7349,2.686,6.362,0.25,0.6,3.73,169,1.2,0.6
456,2.425,6.407,0.34,0.0,3.01,191,1.6,0.33
1670,2.612,6.693,0.25,1.6,4.0,161,0.9,0.56
1133,2.615,6.697,0.34,0.7,1.77,174,4.7,0.47
1458,2.704,5.657,0.27,0.5,4.88,213,0.7,0.46
1230,2.794,6.182,0.18,1.3,3.77,123,0.3,0.24
1654,2.578,6.355,0.31,0.1,3.91,103,1.8,0.85
2865,2.469,6.091,0.32,0.1,3.45,150,1.8,0.52
3104,2.644,6.53,0.25,0.5,5.08,176,0.5,0.01
1391,2.77,6.49,0.22,0.6,4.67,93,0.3,0.7
1853,2.527,6.146,0.27,0.0,2.81,19,0.4,0.91
4116,2.52,6.284,0.22,0.6,2.93,127,3.0,1.39
991,2.579,6.338,0.26,1.8,5.35,301,0.7,0.07
2830,2.682,5.664,0.17,0.8,4.1,84,0.3,0.18
2554,2.72,6.744,0.29,1.3,3.36,279,1.3,0.1
201,2.868,6.675,0.22,0.8,4.58,224,0.9,0.29
261,2.635,6.135,0.23,0.5,3.5,9,1.1,0.23
2992,2.54,6.114,0.13,0.2,4.52,318,1.2,0.38
1324,2.697,5.612,0.34,0.9,2.88,90,2.4,1.2
2632,2.554,6.719,0.32,0.2,4.28,193,0.0,0.02
2787,2.709,5.989,0.27,0.6,0.91,97,2.3,0.13
1560,2.511,5.53,0.35,0.9,5.48,213,0.7,0.25
1840,2.849,6.517,0.31,3.4,5.05,266,0.1,0.52
1497,2.55,6.194,0.27,0.4,2.63,196,2.2,0.64
927,2.795,6.28,0.22,1.3,3.25,305,1.6,0.42
1531,2.513,6.475,0.35,0.6,4.8,161,0.2,0.79
2967,2.8,6.201,0.24,0.2,4.85,214,1.1,0.23
1713,2.775,5.994,0.31,1.9,3.97,250,0.5,0.5
1090,2.477,6.455,0.36,0.5,5.06,250,1.4,0.18
6029,2.725,5.824,0.31,1.0,4.05,228,1.4,0.82
4193,2.386,5.881,0.27,0.2,4.56,75,0.1,0.03
1540,2.589,6.481,0.32,0.2,1.58,170,2.0,1.22
2298,2.591,6.084,0.28,0.9,5.67,59,0.2,0.07
1109,2.698,6.832,0.24,0.8,1.25,176,3.5,1.31
6430,2.82,5.545,0.17,0.8,5.28,50,0.4,0.58
2913,2.557,6.43,0.27,1.2,4.72,210,1.5,0.27
1726,2.56,5.744,0.31,0.8,5.41,201,0.3,0.3
4087,2.578,6.471,0.32,1.0,2.28,98,2.3,1.08
1612,2.459,6.561,0.34,0.8,4.6,51,0.7,1.22
10410,2.611,6.263,0.32,0.7,3.05,95,1.1,2.58
3112,2.56,5.402,0.2,1.3,4.02,378,2.9,0.33
1802,2.767,6.993,0.44,0.4,3.62,100,0.8,0.11
1324,2.55,6.624,0.17,0.3,3.77,243,1.8,0.99
1612,2.424,6.517,0.26,1.6,3.48,196,0.6,0.14
5800,2.755,6.622,0.31,0.4,4.12,197,0.2,0.44
1832,2.499,6.648,0.3,0.2,0.84,116,3.1,2.11
1368,2.877,6.585,0.46,0.0,5.04,166,0.8,0.42
6067,2.563,5.378,0.31,0.1,4.13,124,0.6,0.18
1556,2.554,5.845,0.3,0.3,4.71,62,1.2,0.1
1412,2.915,6.301,0.28,0.4,3.97,224,0.4,0.19
1669,2.583,6.339,0.36,0.7,4.15,139,3.3,0.13
2938,2.605,5.933,0.24,1.6,4.96,205,1.1,0.87
1728,2.818,5.752,0.28,1.1,4.69,426,1.5,0.61
1027,2.711,6.202,0.23,1.0,3.54,288,0.7,0.53
1536,2.402,5.832,0.32,1.0,4.87,69,0.9,0.06
28,2.676,6.443,0.3,2.6,3.05,327,0.8,0.52
1155,2.679,6.423,0.2,1.3,3.3,33,0.3,0.31
1236,2.61,5.771,0.27,1.7,4.74,188,0.3,0.3
852,2.614,6.042,0.26,0.4,5.2,92,0.1,0.13
25,2.479,5.788,0.27,0.7,4.36,53,0.6,0.01
386,2.546,6.213,0.31,0.8,4.06,155,0.1,0.41
3462,2.479,6.25,0.3,0.4,3.51,179,0.4,0.27
7560,2.41,6.69,0.39,0.0,2.62,55,1.7,0.23
2649,2.058,6.265,0.34,0.8,4.24,68,0.9,0.52
1781,2.554,6.023,0.21,0.6,3.6,74,0.5,0.66
1145,2.516,4.952,0.22,0.1,4.89,205,1.0,0.4
1602,2.74,5.298,0.13,0.3,5.03,338,1.1,0.05
2973,2.71,5.287,0.08,0.5,3.82,254,0.9,1.39
1432,2.43,6.071,0.26,0.0,4.53,170,0.5,0.13
2739,2.573,5.812,0.19,0.2,4.24,73,1.1,0.46
10137,2.645,6.416,0.34,1.6,4.25,410,0.4,0.6
11348,2.644,6.84,0.22,1.7,4.81,255,0.2,0.36
2000,2.773,6.906,0.22,0.4,4.39,183,1.0,0.32
1753,2.572,7.127,0.37,0.1,3.72,198,3.7,0.69
2661,2.388,6.194,0.25,0.2,2.61,45,1.4,2.52
1569,2.72,6.348,0.16,0.5,3.85,302,1.1,0.67
145,2.623,6.794,0.24,1.1,3.39,160,1.0,0.55
1214,2.818,6.113,0.28,1.0,4.41,192,0.2,0.36
6138,2.553,5.373,0.13,0.7,5.43,93,0.7,0.14
472,2.812,6.816,0.31,1.0,4.87,212,0.0,0.38
3244,2.809,6.917,0.23,1.8,4.19,297,1.6,0.16
784,2.445,6.039,0.26,1.8,4.04,94,1.2,0.0
1209,2.621,6.169,0.29,2.0,4.85,355,0.1,0.11
4958,2.666,6.896,0.35,0.7,2.55,219,5.0,0.73
1453,2.704,6.695,0.24,3.4,4.35,262,0.8,0.02
5656,2.569,6.388,0.22,1.9,5.75,219,0.3,0.05
38,2.68,6.607,0.33,0.8,4.01,117,2.1,0.19
1737,2.53,6.377,0.27,1.0,4.18,57,0.5,0.54
1252,2.798,7.011,0.22,1.7,4.2,380,0.8,0.49
5485,2.679,6.16,0.29,0.4,3.24,161,2.8,1.78
1199,2.3,6.435,0.37,0.3,4.58,181,0.6,0.27
5090,2.687,6.748,0.25,3.4,4.25,284,0.4,0.86
2537,2.633,6.001,0.2,0.7,2.76,73,0.8,0.06
31,2.654,6.243,0.28,1.3,4.14,233,0.1,0.69
1322,2.877,6.056,0.26,0.7,4.7,125,0.4,0.05
1286,2.569,6.176,0.25,0.6,3.34,78,1.2,0.97
6893,2.581,5.627,0.22,0.1,4.82,55,0.7,0.19
2728,2.681,6.152,0.29,0.3,3.76,89,0.1,0.44
1834,2.439,6.75,0.39,1.1,4.84,189,2.0,0.15
2722,2.674,5.9,0.31,0.2,3.37,30,2.7,0.65
1620,2.473,5.711,0.31,1.0,5.03,106,1.2,0.19
474,2.612,7.195,0.25,1.5,2.04,287,3.1,1.01
2721,2.703,7.375,0.41,1.0,3.81,224,2.8,0.43
1246,2.76,6.621,0.33,1.0,4.87,243,1.2,0.18
4771,2.699,5.799,0.25,1.1,4.37,105,1.5,1.52
2273,2.531,5.941,0.25,1.0,4.65,221,0.2,0.49
904,2.64,5.953,0.22,1.4,4.67,109,0.3,0.82
1916,2.685,6.556,0.27,0.2,3.47,254,2.9,0.54
627,2.63,6.239,0.33,1.8,4.56,123,0.9,0.04
995,2.616,6.709,0.35,0.3,4.02,183,1.1,0.94
1104,2.62,6.108,0.07,0.2,5.12,235,1.1,0.18
247,2.56,5.63,0.25,0.3,4.32,265,0.4,0.75
1312,2.431,5.974,0.3,0.6,4.09,82,0.8,0.19
866,2.617,6.4,0.27,1.0,4.69,236,1.2,0.32
830,2.959,6.633,0.26,1.8,3.69,187,0.5,0.9
2910,2.485,6.028,0.28,0.2,5.01,41,1.0,0.16
2684,2.623,6.174,0.27,1.2,4.92,95,0.6,0.2
139,2.604,6.239,0.23,0.8,5.05,152,0.2,0.18
980,2.289,6.863,0.3,0.4,2.5,236,2.6,0.84
1953,2.667,5.993,0.3,1.3,4.43,97,0.7,0.4
978,2.705,6.801,0.39,0.5,4.73,358,0.5,0.14
2427,2.634,5.896,0.34,1.2,4.77,59,0.0,0.21
1384,2.62,5.375,0.29,0.2,4.53,76,0.9,0.63
1500,2.63,6.242,0.25,0.5,4.2,83,0.5,0.17
11514,2.306,6.684,0.27,1.2,4.16,336,1.0,0.65
