time_betw_scan_hours,CA,YM,Class,cluster normalized - 5 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
0.064,0.499,0.559,1.000,2.000,0.151,0.281,0.498,0.449,0.055,0.075
0.049,0.683,0.486,1.000,1.000,0.124,0.053,0.467,0.269,0.016,0.073
0.092,0.557,0.804,1.000,2.000,0.259,0.351,0.440,0.362,0.175,0.110
0.009,0.614,0.395,1.000,1.000,0.168,0.070,0.555,0.011,0.060,0.048
0.049,0.440,0.268,1.000,1.000,0.135,0.053,0.508,0.056,0.027,0.100
0.119,0.576,0.333,1.000,1.000,0.178,0.228,0.481,0.158,0.011,0.056
0.085,0.828,0.628,1.000,1.000,0.141,0.211,0.491,0.376,0.115,0.055
0.114,0.364,0.530,1.000,1.000,0.157,0.123,0.537,0.241,0.044,0.073
0.085,0.491,0.797,1.000,1.000,0.200,0.018,0.434,0.253,0.202,0.115
0.059,0.541,0.363,1.000,1.000,0.092,0.018,0.296,0.011,0.071,0.023
0.003,0.605,0.848,1.000,2.000,0.162,0.509,0.511,0.450,0.180,0.040
0.075,0.507,0.529,1.000,4.000,0.173,0.035,0.184,0.217,0.109,0.203
0.121,0.735,0.596,1.000,2.000,0.135,0.421,0.431,0.392,0.038,0.091
0.055,0.532,0.619,1.000,4.000,0.184,0.123,0.207,0.222,0.257,0.078
0.276,0.488,0.491,1.000,1.000,0.119,0.333,0.671,0.279,0.016,0.008
0.087,0.474,0.340,1.000,1.000,0.114,0.105,0.420,0.094,0.027,0.110
0.079,0.517,0.353,1.000,1.000,0.130,0.018,0.459,0.402,0.126,0.035
0.076,0.391,0.489,1.000,1.000,0.151,0.298,0.413,0.222,0.000,0.116
0.079,0.496,0.332,1.000,1.000,0.114,0.316,0.460,0.017,0.005,0.000
0.078,0.579,0.200,1.000,1.000,0.119,0.088,0.540,0.227,0.016,0.121
0.048,0.372,0.591,1.000,1.000,0.184,0.175,0.540,0.284,0.082,0.020
0.143,0.522,0.302,1.000,1.000,0.130,0.281,0.579,0.261,0.060,0.145
0.140,0.572,0.510,1.000,1.000,0.135,0.333,0.536,0.138,0.000,0.028
0.190,0.657,0.332,1.000,1.000,0.076,0.018,0.607,0.122,0.038,0.008
0.138,0.098,0.662,1.000,1.000,0.173,0.070,0.443,0.253,0.066,0.060
0.331,0.628,0.487,1.000,1.000,0.157,0.140,0.527,0.056,0.000,0.051
0.070,0.593,0.432,1.000,1.000,0.178,0.211,0.467,0.347,0.071,0.073
0.077,0.505,0.550,1.000,1.000,0.151,0.000,0.567,0.011,0.016,0.048
0.135,0.611,0.326,1.000,1.000,0.146,0.105,0.520,0.084,0.038,0.090
0.069,0.257,0.361,1.000,1.000,0.130,0.070,0.504,0.208,0.082,0.065
0.045,0.701,0.446,1.000,1.000,0.119,0.228,0.379,0.389,0.087,0.070
0.336,0.500,0.176,1.000,1.000,0.119,0.018,0.562,0.070,0.038,0.032
0.145,0.621,0.035,1.000,1.000,0.043,0.088,0.446,0.324,0.049,0.231
0.159,0.360,0.626,1.000,1.000,0.146,0.123,0.289,0.337,0.115,0.110
0.122,0.789,0.179,1.000,2.000,0.124,0.351,0.537,0.346,0.033,0.012
0.071,0.615,0.188,1.000,1.000,0.146,0.088,0.569,0.272,0.038,0.076
0.081,0.459,0.209,1.000,1.000,0.146,0.140,0.543,0.026,0.011,0.018
0.079,0.545,0.662,1.000,1.000,0.184,0.193,0.492,0.370,0.066,0.081
0.057,0.569,0.476,1.000,1.000,0.200,0.140,0.540,0.273,0.022,0.037
0.551,0.523,0.483,1.000,1.000,0.124,0.175,0.569,0.138,0.005,0.071
0.223,0.739,0.271,1.000,1.000,0.200,0.193,0.504,0.334,0.005,0.018
0.142,0.519,0.100,1.000,1.000,0.168,0.211,0.537,0.318,0.011,0.080
0.052,0.578,0.163,1.000,1.000,0.141,0.246,0.413,0.172,0.044,0.101
0.043,0.373,0.283,1.000,1.000,0.119,0.175,0.473,0.352,0.011,0.131
0.067,0.554,0.584,1.000,1.000,0.151,0.351,0.488,0.269,0.000,0.003
0.065,0.574,0.190,1.000,1.000,0.081,0.070,0.580,0.205,0.011,0.010
0.429,0.309,0.536,1.000,1.000,0.151,0.140,0.508,0.319,0.011,0.005
0.065,0.470,0.173,1.000,1.000,0.130,0.053,0.573,0.142,0.055,0.086
0.489,0.508,0.450,1.000,1.000,0.114,0.263,0.488,0.207,0.005,0.003
0.069,0.500,0.416,1.000,1.000,0.189,0.035,0.424,0.374,0.005,0.071
0.032,0.404,0.434,1.000,1.000,0.195,0.018,0.343,0.014,0.098,0.035
0.210,0.522,0.128,1.000,1.000,0.124,0.158,0.452,0.036,0.005,0.070
0.068,0.218,0.664,1.000,4.000,0.141,0.228,0.240,0.348,0.251,0.281
0.224,0.576,0.429,1.000,1.000,0.162,0.053,0.317,0.070,0.038,0.095
0.037,0.659,0.529,1.000,1.000,0.124,0.246,0.440,0.230,0.022,0.071
0.095,0.462,0.250,1.000,1.000,0.124,0.000,0.453,0.068,0.022,0.131
0.010,0.357,0.330,1.000,1.000,0.119,0.333,0.617,0.205,0.011,0.058
0.053,0.634,0.338,1.000,1.000,0.200,0.211,0.481,0.186,0.016,0.037
0.495,0.387,0.532,1.000,1.000,0.189,0.035,0.342,0.008,0.120,0.002
0.060,0.499,0.443,1.000,1.000,0.054,0.246,0.442,0.108,0.011,0.075
0.065,0.246,0.442,1.000,1.000,0.178,0.263,0.480,0.097,0.005,0.078
0.025,0.937,0.653,1.000,1.000,0.135,0.018,0.483,0.279,0.087,0.110
0.061,0.153,0.411,1.000,1.000,0.173,0.140,0.555,0.353,0.219,0.075
0.056,0.389,0.408,1.000,1.000,0.227,0.088,0.476,0.309,0.038,0.010
0.054,0.501,0.836,1.000,2.000,0.162,0.474,0.505,0.439,0.142,0.090
0.072,0.412,0.381,1.000,1.000,0.232,0.193,0.365,0.268,0.033,0.158
0.417,0.436,0.529,1.000,0.000,0.114,0.123,0.088,0.027,0.098,0.404
0.048,0.372,0.591,1.000,1.000,0.184,0.175,0.540,0.284,0.082,0.020
0.698,0.917,0.824,1.000,2.000,0.119,0.316,0.440,0.434,0.109,0.100
0.357,0.554,0.876,1.000,2.000,0.162,0.439,0.553,0.385,0.175,0.008
0.005,0.164,0.180,1.000,1.000,0.092,0.000,0.278,0.055,0.049,0.012
0.088,0.660,0.608,1.000,1.000,0.108,0.298,0.531,0.323,0.055,0.130
0.299,0.438,0.614,1.000,3.000,0.168,0.088,0.350,0.453,0.120,0.168
0.075,0.436,0.527,1.000,1.000,0.189,0.105,0.560,0.205,0.011,0.131
0.219,0.722,0.350,1.000,1.000,0.168,0.228,0.396,0.102,0.049,0.153
0.056,0.421,0.152,1.000,1.000,0.146,0.018,0.554,0.033,0.027,0.033
0.063,0.357,0.401,1.000,1.000,0.141,0.105,0.566,0.286,0.016,0.120
0.079,0.398,0.210,1.000,1.000,0.168,0.175,0.587,0.135,0.066,0.032
0.054,0.633,0.292,1.000,1.000,0.081,0.070,0.510,0.029,0.082,0.140
0.049,0.418,0.501,1.000,1.000,0.141,0.088,0.538,0.305,0.005,0.023
0.086,0.728,0.519,1.000,2.000,0.211,0.281,0.467,0.480,0.071,0.126
0.076,0.517,0.137,1.000,0.000,0.054,0.105,0.137,0.048,0.191,0.430
0.075,0.474,0.636,1.000,1.000,0.200,0.246,0.506,0.036,0.175,0.047
0.491,0.774,0.532,1.000,1.000,0.146,0.158,0.559,0.093,0.077,0.261
0.119,0.568,0.663,1.000,2.000,0.141,0.491,0.440,0.179,0.087,0.047
0.066,0.569,0.483,1.000,1.000,0.157,0.140,0.471,0.055,0.005,0.032
0.027,0.517,0.806,1.000,3.000,0.173,0.053,0.383,0.454,0.186,0.076
0.085,0.390,0.331,1.000,1.000,0.114,0.053,0.644,0.001,0.033,0.043
0.083,0.408,0.450,1.000,1.000,0.195,0.088,0.419,0.037,0.066,0.166
0.066,0.548,0.269,1.000,1.000,0.114,0.123,0.366,0.165,0.087,0.209
0.078,0.188,0.319,1.000,1.000,0.086,0.070,0.417,0.256,0.033,0.130
0.103,0.555,0.262,1.000,1.000,0.141,0.035,0.568,0.175,0.033,0.023
0.107,0.546,0.570,1.000,1.000,0.173,0.070,0.466,0.046,0.115,0.025
0.085,0.727,0.498,1.000,2.000,0.135,0.228,0.428,0.406,0.082,0.090
0.075,0.602,0.546,1.000,1.000,0.103,0.053,0.341,0.033,0.158,0.233
0.016,0.347,0.461,1.000,1.000,0.162,0.035,0.532,0.061,0.027,0.013
0.099,0.487,0.520,1.000,1.000,0.211,0.263,0.494,0.213,0.082,0.023
0.073,0.564,0.496,1.000,1.000,0.178,0.123,0.603,0.159,0.082,0.070
0.053,0.554,0.314,1.000,0.000,0.027,0.018,0.152,0.078,0.093,0.233
0.061,0.611,0.399,1.000,1.000,0.130,0.088,0.475,0.329,0.077,0.032
0.160,0.556,0.260,1.000,1.000,0.135,0.246,0.622,0.264,0.033,0.048
0.052,0.725,0.391,1.000,1.000,0.157,0.158,0.203,0.070,0.027,0.105
0.127,0.421,0.399,1.000,1.000,0.173,0.070,0.572,0.143,0.060,0.322
0.079,0.506,0.336,1.000,1.000,0.124,0.263,0.589,0.099,0.038,0.100
0.081,0.668,0.563,1.000,1.000,0.157,0.281,0.489,0.255,0.011,0.090
0.001,0.401,0.304,1.000,1.000,0.141,0.263,0.629,0.172,0.033,0.042
0.281,0.617,0.739,1.000,1.000,0.173,0.018,0.459,0.204,0.087,0.241
0.176,0.457,0.060,1.000,1.000,0.189,0.123,0.482,0.249,0.033,0.116
0.197,0.555,0.428,1.000,1.000,0.168,0.281,0.573,0.217,0.044,0.076
0.058,0.717,0.314,1.000,1.000,0.146,0.175,0.623,0.114,0.033,0.045
0.049,0.602,0.529,1.000,0.000,0.114,0.070,0.110,0.327,0.049,0.299
0.045,0.650,0.453,1.000,1.000,0.119,0.088,0.461,0.241,0.049,0.050
0.002,0.794,0.399,1.000,1.000,0.119,0.439,0.477,0.009,0.044,0.076
0.096,0.333,0.396,1.000,1.000,0.151,0.263,0.519,0.356,0.005,0.035
0.983,0.478,0.388,1.000,1.000,0.195,0.070,0.636,0.256,0.098,0.125
0.077,0.587,0.591,1.000,0.000,0.168,0.035,0.301,0.071,0.208,0.284
0.979,0.632,0.381,1.000,1.000,0.097,0.053,0.585,0.230,0.000,0.017
0.001,0.627,0.417,1.000,1.000,0.173,0.105,0.560,0.074,0.005,0.164
0.060,0.546,0.150,1.000,1.000,0.130,0.000,0.460,0.125,0.022,0.038
0.074,0.527,0.140,1.000,1.000,0.119,0.211,0.541,0.337,0.055,0.206
0.083,0.586,0.408,1.000,1.000,0.108,0.053,0.443,0.125,0.153,0.221
0.075,0.572,0.753,1.000,2.000,0.146,0.333,0.608,0.455,0.120,0.071
0.222,0.489,0.162,1.000,1.000,0.119,0.193,0.186,0.060,0.098,0.030
0.158,0.714,0.710,1.000,2.000,0.124,0.316,0.489,0.379,0.087,0.027
0.071,0.553,0.666,1.000,1.000,0.130,0.211,0.475,0.216,0.268,0.065
0.197,0.553,0.437,1.000,2.000,0.195,0.368,0.565,0.293,0.142,0.053
0.009,0.536,0.612,1.000,2.000,0.151,0.368,0.538,0.427,0.082,0.007
0.230,0.662,0.557,1.000,1.000,0.124,0.105,0.579,0.038,0.055,0.058
0.296,0.483,0.072,1.000,1.000,0.168,0.018,0.482,0.158,0.033,0.030
0.009,0.649,0.409,1.000,1.000,0.157,0.018,0.558,0.013,0.066,0.002
0.087,0.772,0.262,1.000,1.000,0.173,0.175,0.552,0.115,0.049,0.111
0.072,0.954,0.370,1.000,1.000,0.135,0.158,0.485,0.117,0.000,0.070
0.070,0.673,0.466,1.000,1.000,0.130,0.035,0.575,0.091,0.038,0.027
0.148,0.590,0.416,1.000,0.000,0.141,0.088,0.106,0.041,0.240,0.326
0.122,0.390,0.634,1.000,1.000,0.146,0.123,0.462,0.300,0.000,0.076
0.265,0.423,0.422,1.000,1.000,0.114,0.000,0.545,0.226,0.000,0.000
0.346,0.519,0.582,1.000,3.000,0.135,0.158,0.328,0.406,0.169,0.145
0.138,0.582,0.242,1.000,1.000,0.103,0.018,0.509,0.162,0.022,0.096
0.290,0.507,0.251,1.000,1.000,0.162,0.123,0.578,0.180,0.005,0.091
0.281,0.584,0.190,1.000,1.000,0.141,0.053,0.495,0.020,0.060,0.022
0.044,0.664,0.528,1.000,2.000,0.189,0.386,0.567,0.253,0.044,0.047
0.068,0.659,0.536,1.000,1.000,0.135,0.088,0.586,0.210,0.011,0.040
0.076,0.590,0.437,1.000,1.000,0.119,0.228,0.480,0.330,0.033,0.123
0.073,0.470,0.411,1.000,1.000,0.146,0.070,0.307,0.250,0.120,0.106
0.157,0.541,0.730,1.000,1.000,0.141,0.193,0.496,0.379,0.033,0.096
0.137,0.485,0.399,1.000,1.000,0.130,0.140,0.595,0.231,0.027,0.032
0.155,0.452,0.644,1.000,2.000,0.124,0.404,0.476,0.431,0.087,0.013
0.045,0.367,0.140,1.000,1.000,0.146,0.105,0.602,0.038,0.011,0.121
0.083,0.508,0.231,1.000,1.000,0.146,0.053,0.485,0.027,0.093,0.125
0.245,0.491,0.422,1.000,2.000,0.173,0.333,0.340,0.259,0.169,0.028
0.053,0.320,0.511,1.000,1.000,0.151,0.281,0.485,0.144,0.038,0.037
0.188,0.668,0.435,1.000,1.000,0.168,0.000,0.526,0.312,0.055,0.078
0.011,0.423,0.408,1.000,1.000,0.119,0.018,0.349,0.111,0.131,0.166
0.076,0.418,0.458,1.000,1.000,0.200,0.070,0.497,0.028,0.077,0.061
0.088,0.467,0.244,1.000,1.000,0.124,0.175,0.604,0.077,0.033,0.179
0.072,0.662,0.592,1.000,1.000,0.119,0.018,0.537,0.314,0.104,0.053
0.611,0.820,0.122,1.000,1.000,0.092,0.035,0.453,0.116,0.011,0.056
0.162,0.756,0.444,1.000,1.000,0.216,0.175,0.481,0.409,0.027,0.025
0.067,0.724,0.384,1.000,1.000,0.141,0.140,0.466,0.190,0.011,0.145
0.076,0.476,0.415,1.000,1.000,0.157,0.053,0.407,0.017,0.077,0.078
0.198,0.416,0.217,1.000,1.000,0.081,0.123,0.345,0.042,0.153,0.281
0.078,0.515,0.397,1.000,1.000,0.151,0.193,0.589,0.042,0.016,0.023
0.561,0.241,0.614,1.000,3.000,0.146,0.211,0.485,0.429,0.055,0.108
0.132,0.506,0.337,1.000,1.000,0.178,0.053,0.483,0.013,0.022,0.048
0.043,0.529,0.151,1.000,1.000,0.135,0.211,0.363,0.319,0.033,0.013
0.072,0.259,0.286,1.000,1.000,0.135,0.123,0.511,0.237,0.033,0.042
0.068,0.491,0.331,1.000,1.000,0.216,0.123,0.467,0.020,0.011,0.038
0.054,0.440,0.245,1.000,1.000,0.162,0.035,0.372,0.003,0.180,0.194
0.238,0.647,0.270,1.000,1.000,0.124,0.281,0.547,0.075,0.044,0.113
0.067,0.385,0.485,1.000,1.000,0.216,0.053,0.498,0.212,0.011,0.032
0.061,0.721,0.116,1.000,1.000,0.168,0.088,0.496,0.057,0.022,0.025
0.003,0.644,0.303,1.000,1.000,0.114,0.070,0.485,0.089,0.082,0.033
0.074,0.690,0.861,1.000,1.000,0.195,0.000,0.383,0.355,0.153,0.090
0.056,0.749,0.459,1.000,1.000,0.124,0.123,0.636,0.193,0.005,0.008
0.146,0.654,0.438,1.000,1.000,0.189,0.035,0.523,0.011,0.027,0.007
0.082,0.494,0.585,1.000,1.000,0.135,0.246,0.510,0.196,0.022,0.071
0.008,0.436,0.184,1.000,1.000,0.141,0.035,0.501,0.097,0.005,0.118
0.003,0.538,0.204,1.000,1.000,0.124,0.035,0.483,0.111,0.011,0.002
0.124,0.696,0.571,1.000,1.000,0.184,0.246,0.474,0.360,0.038,0.115
0.028,0.576,0.259,1.000,1.000,0.135,0.088,0.450,0.140,0.049,0.095
0.853,0.572,0.053,1.000,1.000,0.076,0.211,0.644,0.024,0.055,0.058
0.060,0.527,0.235,1.000,1.000,0.146,0.298,0.553,0.240,0.016,0.050
0.422,0.564,0.227,1.000,1.000,0.114,0.035,0.302,0.080,0.049,0.252
0.277,0.507,0.540,1.000,2.000,0.086,0.333,0.441,0.390,0.071,0.028
0.094,0.677,0.389,1.000,1.000,0.124,0.070,0.453,0.205,0.033,0.085
0.062,0.499,0.453,1.000,1.000,0.157,0.018,0.505,0.010,0.098,0.027
0.074,0.651,0.613,1.000,1.000,0.162,0.281,0.497,0.349,0.044,0.035
0.089,0.422,0.599,1.000,0.000,0.162,0.035,0.098,0.148,0.169,0.350
0.213,0.241,0.483,1.000,2.000,0.227,0.175,0.506,0.401,0.224,0.013
0.066,0.470,0.294,1.000,1.000,0.178,0.035,0.440,0.157,0.000,0.042
0.072,0.359,0.257,1.000,1.000,0.173,0.000,0.553,0.115,0.027,0.007
0.140,0.569,0.340,1.000,1.000,0.157,0.175,0.530,0.304,0.115,0.038
0.140,0.566,0.497,1.000,1.000,0.130,0.316,0.530,0.064,0.016,0.050
0.055,0.453,0.279,1.000,1.000,0.173,0.088,0.408,0.161,0.000,0.086
0.172,0.589,0.599,1.000,1.000,0.151,0.123,0.424,0.057,0.186,0.088
0.084,0.389,0.545,1.000,1.000,0.157,0.070,0.524,0.418,0.005,0.073
0.047,0.489,0.497,1.000,1.000,0.124,0.140,0.513,0.305,0.000,0.037
0.278,0.531,0.285,1.000,1.000,0.151,0.035,0.503,0.208,0.022,0.068
0.051,0.400,0.385,1.000,1.000,0.178,0.123,0.511,0.153,0.049,0.050
0.008,0.430,0.492,1.000,1.000,0.124,0.246,0.508,0.224,0.027,0.103
0.185,0.442,0.327,1.000,1.000,0.130,0.070,0.481,0.307,0.011,0.040
0.089,0.400,0.493,1.000,1.000,0.173,0.123,0.564,0.120,0.033,0.020
0.110,0.491,0.420,1.000,1.000,0.157,0.211,0.461,0.122,0.044,0.272
0.081,0.602,0.692,1.000,2.000,0.168,0.421,0.520,0.270,0.098,0.025
0.141,0.649,0.625,1.000,1.000,0.124,0.175,0.506,0.107,0.180,0.028
0.004,0.615,0.629,1.000,1.000,0.135,0.070,0.401,0.367,0.120,0.085
0.087,0.162,0.184,1.000,1.000,0.184,0.298,0.501,0.277,0.055,0.017
0.071,0.688,0.433,1.000,1.000,0.151,0.070,0.609,0.151,0.033,0.055
0.063,0.573,0.257,1.000,1.000,0.135,0.105,0.631,0.011,0.044,0.090
0.081,0.542,0.604,1.000,1.000,0.173,0.018,0.356,0.323,0.153,0.158
0.994,0.543,0.490,1.000,1.000,0.146,0.246,0.559,0.057,0.038,0.048
0.005,0.505,0.243,1.000,0.000,0.097,0.228,0.315,0.163,0.273,0.419
0.201,0.442,0.448,1.000,1.000,0.119,0.105,0.342,0.162,0.164,0.231
0.087,0.474,0.340,1.000,1.000,0.114,0.105,0.420,0.094,0.027,0.110
0.142,0.669,0.630,1.000,1.000,0.184,0.070,0.533,0.189,0.126,0.007
0.098,0.484,0.260,1.000,1.000,0.135,0.070,0.450,0.273,0.038,0.037
0.059,0.722,0.377,1.000,1.000,0.151,0.175,0.515,0.245,0.011,0.060
0.286,0.486,0.227,1.000,0.000,0.043,0.158,0.232,0.055,0.126,0.354
0.049,0.564,0.377,1.000,1.000,0.076,0.000,0.273,0.022,0.175,0.105
0.068,0.542,0.293,1.000,1.000,0.162,0.105,0.545,0.068,0.022,0.135
0.047,0.497,0.724,1.000,1.000,0.205,0.018,0.544,0.349,0.033,0.113
0.075,0.393,0.341,1.000,1.000,0.108,0.193,0.466,0.087,0.016,0.055
0.122,0.601,0.562,1.000,1.000,0.135,0.070,0.541,0.165,0.033,0.085
0.005,0.259,0.440,1.000,1.000,0.178,0.175,0.607,0.048,0.011,0.090
0.063,0.485,0.379,1.000,1.000,0.184,0.070,0.443,0.106,0.131,0.015
0.084,0.530,0.504,1.000,1.000,0.124,0.088,0.537,0.116,0.077,0.047
0.124,0.533,0.444,1.000,1.000,0.081,0.316,0.562,0.314,0.033,0.048
0.060,0.680,0.442,1.000,1.000,0.141,0.246,0.519,0.038,0.005,0.020
0.422,0.722,0.628,1.000,2.000,0.168,0.193,0.481,0.413,0.191,0.050
0.504,0.256,0.558,1.000,2.000,0.249,0.228,0.565,0.397,0.104,0.056
0.219,0.445,0.365,1.000,1.000,0.157,0.140,0.527,0.224,0.016,0.015
0.227,0.640,0.353,1.000,1.000,0.135,0.035,0.525,0.310,0.158,0.002
0.062,0.259,0.465,1.000,1.000,0.146,0.000,0.349,0.029,0.066,0.133
0.135,0.640,0.537,1.000,4.000,0.081,0.105,0.204,0.239,0.208,0.143
0.007,0.431,0.422,1.000,1.000,0.124,0.035,0.214,0.001,0.016,0.080
0.042,0.643,0.634,1.000,1.000,0.151,0.175,0.567,0.105,0.055,0.066
0.067,0.419,0.386,1.000,1.000,0.184,0.123,0.509,0.119,0.033,0.047
0.150,0.260,0.244,1.000,1.000,0.119,0.105,0.513,0.094,0.022,0.135
0.137,0.417,0.348,1.000,1.000,0.151,0.140,0.509,0.005,0.033,0.068
0.085,0.452,0.486,1.000,1.000,0.146,0.175,0.488,0.073,0.027,0.090
0.136,0.440,0.166,1.000,1.000,0.151,0.140,0.457,0.004,0.049,0.110
0.080,0.443,0.316,1.000,1.000,0.141,0.088,0.548,0.115,0.011,0.068
0.218,0.250,0.624,1.000,1.000,0.184,0.000,0.447,0.051,0.071,0.241
0.213,0.619,0.716,1.000,2.000,0.157,0.333,0.447,0.258,0.142,0.073
0.011,0.602,0.617,1.000,1.000,0.168,0.211,0.545,0.339,0.016,0.066
0.198,0.622,0.495,1.000,1.000,0.151,0.070,0.594,0.327,0.049,0.020
0.005,0.615,0.390,1.000,1.000,0.211,0.228,0.509,0.181,0.071,0.100
0.138,0.536,0.245,1.000,1.000,0.130,0.211,0.492,0.043,0.027,0.010
0.074,0.368,0.670,1.000,4.000,0.097,0.105,0.187,0.079,0.235,0.138
0.053,0.578,0.090,1.000,1.000,0.200,0.123,0.552,0.269,0.005,0.058
0.291,0.297,0.612,1.000,1.000,0.168,0.088,0.397,0.168,0.219,0.279
0.112,0.509,0.365,1.000,1.000,0.151,0.158,0.662,0.075,0.011,0.012
0.132,0.882,0.379,1.000,1.000,0.146,0.140,0.517,0.136,0.022,0.048
0.216,0.486,0.637,1.000,1.000,0.232,0.246,0.469,0.133,0.109,0.060
0.000,0.579,0.408,1.000,1.000,0.124,0.175,0.449,0.179,0.033,0.065
0.094,0.690,0.523,1.000,1.000,0.119,0.070,0.433,0.205,0.049,0.051
0.139,0.668,0.329,1.000,1.000,0.135,0.211,0.480,0.250,0.027,0.027
0.065,0.200,0.215,1.000,1.000,0.151,0.228,0.533,0.106,0.066,0.043
0.061,0.649,0.514,1.000,1.000,0.168,0.123,0.476,0.175,0.082,0.078
0.068,0.696,0.618,1.000,1.000,0.189,0.351,0.576,0.256,0.082,0.028
0.224,0.609,0.442,1.000,1.000,0.168,0.123,0.564,0.411,0.000,0.007
0.087,0.081,0.371,1.000,0.000,0.027,0.158,0.389,0.247,0.115,0.449
0.142,0.826,0.622,1.000,1.000,0.151,0.175,0.604,0.045,0.055,0.005
0.076,0.320,0.505,1.000,1.000,0.178,0.123,0.506,0.015,0.082,0.243
0.076,0.320,0.505,1.000,1.000,0.178,0.123,0.506,0.015,0.082,0.243
0.144,0.471,0.225,1.000,1.000,0.124,0.088,0.550,0.134,0.022,0.058
0.130,0.679,0.381,1.000,1.000,0.130,0.123,0.559,0.158,0.055,0.012
0.063,0.524,0.653,1.000,1.000,0.135,0.211,0.510,0.315,0.005,0.083
0.071,0.571,0.203,1.000,1.000,0.146,0.035,0.517,0.031,0.005,0.105
0.266,0.390,0.621,1.000,2.000,0.162,0.333,0.482,0.372,0.000,0.086
0.069,0.531,0.415,1.000,1.000,0.168,0.000,0.529,0.170,0.066,0.075
0.005,0.236,0.454,1.000,1.000,0.168,0.193,0.386,0.365,0.082,0.015
0.047,0.577,0.289,1.000,1.000,0.092,0.140,0.431,0.056,0.044,0.113
0.142,0.873,0.642,1.000,1.000,0.157,0.053,0.526,0.140,0.087,0.013
0.172,0.497,0.366,1.000,1.000,0.173,0.175,0.496,0.046,0.005,0.025
0.165,0.480,0.368,1.000,1.000,0.157,0.140,0.477,0.253,0.098,0.056
0.082,0.457,0.329,1.000,1.000,0.151,0.070,0.534,0.176,0.027,0.098
0.072,0.627,0.649,1.000,1.000,0.114,0.316,0.421,0.136,0.049,0.151
0.089,0.623,0.488,1.000,1.000,0.151,0.158,0.567,0.210,0.049,0.126
0.154,0.500,0.583,1.000,1.000,0.135,0.088,0.536,0.328,0.022,0.063
0.063,0.471,0.587,1.000,3.000,0.232,0.193,0.453,0.443,0.071,0.065
0.029,0.325,0.450,1.000,1.000,0.151,0.316,0.629,0.010,0.016,0.020
0.112,0.630,0.327,1.000,1.000,0.135,0.281,0.476,0.292,0.011,0.060
0.071,0.288,0.393,1.000,1.000,0.135,0.140,0.599,0.048,0.016,0.038
0.099,0.224,0.127,1.000,3.000,0.146,0.035,0.447,0.434,0.022,0.095
0.004,0.876,0.673,1.000,1.000,0.108,0.246,0.422,0.316,0.082,0.199
0.073,0.544,0.574,1.000,1.000,0.157,0.211,0.469,0.324,0.000,0.035
0.396,0.355,0.465,1.000,1.000,0.157,0.246,0.567,0.004,0.011,0.027
0.135,0.702,0.408,1.000,1.000,0.162,0.193,0.491,0.181,0.066,0.048
0.052,0.391,0.434,1.000,1.000,0.146,0.000,0.379,0.175,0.115,0.150
0.420,0.760,0.664,1.000,1.000,0.124,0.140,0.568,0.297,0.049,0.063
0.007,0.150,0.479,1.000,2.000,0.135,0.333,0.546,0.319,0.016,0.043
0.146,0.654,0.438,1.000,1.000,0.189,0.035,0.523,0.011,0.027,0.007
0.051,0.611,0.157,1.000,1.000,0.146,0.018,0.558,0.231,0.033,0.015
0.122,0.772,0.672,1.000,2.000,0.195,0.351,0.544,0.335,0.060,0.076
0.071,0.765,0.414,1.000,1.000,0.135,0.351,0.391,0.070,0.033,0.023
0.126,0.464,0.546,1.000,1.000,0.151,0.140,0.574,0.205,0.077,0.033
0.002,0.569,0.565,1.000,1.000,0.151,0.316,0.463,0.092,0.033,0.030
0.071,0.437,0.408,1.000,1.000,0.130,0.105,0.573,0.046,0.049,0.070
0.045,0.263,0.568,1.000,1.000,0.189,0.088,0.488,0.212,0.120,0.017
0.069,0.772,0.509,1.000,1.000,0.216,0.246,0.462,0.283,0.011,0.073
0.087,0.510,0.332,1.000,1.000,0.103,0.035,0.569,0.165,0.027,0.000
0.053,0.677,0.878,1.000,2.000,0.151,0.368,0.512,0.457,0.164,0.118
0.119,0.721,0.242,1.000,1.000,0.141,0.140,0.511,0.272,0.038,0.037
0.072,0.601,0.324,1.000,1.000,0.211,0.070,0.548,0.091,0.022,0.023
0.041,0.381,0.780,1.000,2.000,0.173,0.263,0.515,0.395,0.098,0.138
0.152,0.360,0.267,1.000,0.000,0.103,0.193,0.215,0.074,0.142,0.364
0.197,0.391,0.736,1.000,1.000,0.146,0.140,0.554,0.103,0.038,0.048
0.206,0.343,0.599,1.000,1.000,0.173,0.140,0.350,0.194,0.148,0.055
0.228,0.301,0.332,1.000,1.000,0.173,0.105,0.390,0.156,0.077,0.081
0.160,0.593,0.587,1.000,1.000,0.146,0.070,0.581,0.121,0.038,0.005
0.338,0.599,0.519,1.000,3.000,0.086,0.070,0.368,0.422,0.208,0.083
0.347,0.860,0.282,1.000,1.000,0.092,0.088,0.274,0.114,0.077,0.131
0.124,0.492,0.450,1.000,1.000,0.168,0.228,0.582,0.190,0.000,0.068
0.093,0.683,0.432,1.000,1.000,0.151,0.193,0.467,0.120,0.011,0.085
